TIMESTAMP,IRT2015C1xx24,TDR2015C10624,TDR2015C11824,TDR2015C13024,TDR2015C14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-07-26 23:00:00,22.76584,26.4,19.95833,20.1,19.283335,25.17933333333333,52.44883333333333,5.249133333333333,162.605,913.4089116666668,0.0,0.0,25.32483333333333,25.02083333333333,52.571333333333335,52.334500000000006,,0.0,,,
2024-07-27 00:00:00,22.33669,26.4,19.950000000000003,20.08333,19.291665,24.738,55.461,5.645316666666667,169.42833333333334,913.6553766666668,0.0,0.0,24.88116666666667,24.587333333333333,55.57716666666667,55.34316666666667,,0.0,7.590226664888781,8.728760664622097,1.15
2024-07-27 01:00:00,22.133475,26.4,19.950000000000003,20.058335,19.3,24.357666666666667,57.38066666666667,4.718066666666667,162.31666666666666,913.7824416666666,0.0,0.0,24.50283333333333,24.2045,57.511833333333335,57.2555,,0.0,,,
2024-07-27 02:00:00,21.273785,26.40833,19.975,20.075000000000003,19.30833,24.04983333333333,58.532,4.8095,161.34,913.2956,0.0,0.0,24.185,23.89333333333333,58.67116666666666,58.3975,,0.0,,,
2024-07-27 03:00:00,21.280855,26.433335,19.975,20.091665,19.3,23.608666666666668,60.0005,5.579133333333333,168.67333333333332,912.7881816666668,0.0,0.0,23.752,23.452666666666666,60.1225,59.8785,,0.0,,,
2024-07-27 04:00:00,18.69025,26.63333,19.966665,20.1,19.308335,22.600666666666665,63.62583333333334,3.90685,161.44333333333333,912.8087016666668,0.0,0.0,22.742666666666665,22.46733333333333,63.7595,63.51016666666667,,0.0,,,
2024-07-27 05:00:00,17.629435,26.725,20.0,20.06667,19.316665,21.672833333333333,66.7365,4.1010333333333335,160.32833333333335,912.55563,0.0,0.0,21.81383333333333,21.531333333333336,66.86866666666667,66.61166666666666,,0.0,,,
2024-07-27 06:00:00,17.61926,26.725,20.008335,20.075000000000003,19.28333,21.04533333333333,69.88983333333334,4.19715,165.03833333333333,912.6633183333336,1.42555,0.0,21.189166666666665,20.898333333333333,70.02416666666666,69.75016666666667,,0.0,,,
2024-07-27 07:00:00,17.8048,26.708335,20.0,20.058335,19.325000000000003,20.823833333333333,71.9745,4.176683333333333,159.75,912.84655,46.4905,0.0,20.970333333333333,20.6715,72.10799999999999,71.84183333333334,,0.0,,,
2024-07-27 08:00:00,18.801175,26.666665,19.975,20.1,19.291665,21.81066666666667,69.188,4.113933333333334,164.03,913.0122816666668,141.4515,0.0,21.95283333333333,21.66883333333333,69.365,68.9995,,0.0,,,
2024-07-27 09:00:00,20.778665,26.658335,20.0,20.091665,19.3,24.55816666666667,60.25716666666666,4.960133333333333,186.78333333333333,913.333985,408.1766666666666,0.0,24.702166666666667,24.39466666666667,60.681333333333335,59.85966666666666,,0.0,,,
2024-07-27 10:00:00,23.2232,26.616665,20.008335,20.016665,19.283335,26.9905,52.2135,5.556749999999999,191.575,913.16497,548.5583333333333,0.0,27.145333333333333,26.838833333333334,52.70916666666667,51.737,,0.0,,,
2024-07-27 11:00:00,24.77144,26.6,19.983335,19.95,19.26667,29.09133333333333,45.747,6.1192,180.435,912.3988233333332,700.3283333333333,0.0,29.24533333333333,28.92183333333333,46.20433333333334,45.31366666666667,,0.0,,,
2024-07-27 12:00:00,25.889,26.6,19.94167,19.891665,19.2,30.5525,41.53866666666667,6.454833333333334,178.06,911.987805,778.8083333333333,0.0,30.72283333333333,30.38283333333333,42.006166666666665,41.09066666666667,,0.0,,,
2024-07-27 13:00:00,27.17781,26.591665,19.908335,19.841665,19.183335,32.04983333333333,38.35166666666667,6.260566666666667,180.84,911.372125,867.0,0.0,32.229166666666664,31.865333333333336,38.853,37.85316666666667,,0.0,,,
2024-07-27 14:00:00,28.027555,26.566665,19.908335,19.8,19.14167,32.73233333333334,36.0895,6.248283333333333,172.27166666666665,910.6485583333334,767.94,0.0,32.905166666666666,32.559999999999995,36.491,35.7135,,0.0,,,
2024-07-27 15:00:00,28.41522,26.5,19.89167,19.725,19.1,33.737833333333334,33.879666666666665,6.463533333333333,170.625,910.1332783333334,792.135,0.0,33.897166666666664,33.56616666666667,34.26366666666667,33.527166666666666,,0.0,,,
2024-07-27 16:00:00,28.500865,26.5,19.858335,19.691665,19.075,34.08133333333333,32.396166666666666,6.602866666666667,174.70499999999998,909.558375,666.66,0.0,34.23633333333333,33.9155,32.740833333333335,32.05716666666667,,0.0,,,
2024-07-27 17:00:00,28.361815,26.475,19.875,19.608335,19.0,33.97816666666667,32.095166666666664,6.1666,180.57333333333327,909.016235,491.56666666666666,0.0,34.120333333333335,33.81783333333333,32.42216666666666,31.79883333333333,,0.0,,,
2024-07-27 18:00:00,27.656730000000003,26.475,19.833335,19.55,18.991665,33.13766666666667,33.421,5.970283333333333,170.8,908.29336,310.38666666666666,0.0,33.29116666666667,32.96966666666667,33.6725,33.173833333333334,,0.0,,,
2024-07-27 19:00:00,27.153505,26.41666,19.816665,19.491665,18.908335,31.480166666666666,38.2125,5.0512,161.06333333333333,908.2431366666666,104.72366666666667,0.0,31.629166666666663,31.31983333333333,38.3795,38.059666666666665,,0.0,,,
2024-07-27 20:00:00,25.501985,26.466665,19.808335,19.475,18.891665,29.49816666666667,43.15716666666666,2.765283333333333,152.89833333333334,909.1045233333332,21.1688,0.0,29.64483333333333,29.341166666666663,43.294,43.03233333333333,,0.0,,,
2024-07-27 21:00:00,23.20615,26.458335,19.825,19.433335,18.883335,28.175166666666662,47.03616666666667,2.80525,149.68666666666667,909.2979966666668,0.0,0.0,28.319666666666667,28.028166666666667,47.156666666666666,46.918,,0.0,,,
