plot,crop,irrigation,et_avg,swsi,cwsi
5006,corn,0.6895873172184395,5.282584638037871,0.5238093906093904,0.6472388010772842
5010,corn,0.6212238579519542,5.282584638037871,0.4165834165834166,0.6264474178752553
5023,corn,0.4751764613130791,5.282584638037871,0.1093905094905094,1.0
2006,soybean,0.7017817771007961,5.062476944786294,0.9214786613386612,
2015,soybean,0.6743765584540524,5.062476944786294,0.6008990009990007,
2023,soybean,0.5157900184613412,5.062476944786294,0.3721278721278721,
