TIMESTAMP,IRT5012B2xx24,TDR5012B20624,TDR5012B21824,TDR5012B23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-08-05 04:00:00,23.827145,22.450000000000003,19.64167,14.85,24.873833333333334,53.0035,4.9606,179.73166666666663,913.854195,0.0,0.0,25.02533333333333,24.7175,53.136,52.878,,0.2590741258741258,,,
2024-08-05 05:00:00,22.832865,22.441665,19.68333,14.8,24.035,56.3115,5.801416666666666,180.8683333333333,913.1751933333333,0.0,0.0,24.191,23.87483333333333,56.4635,56.16583333333333,,0.2597404595404594,,,
2024-08-05 06:00:00,22.83537,22.483335,19.68333,14.808335,23.739166666666662,57.0975,5.539316666666666,182.54666666666665,913.032845,0.0,0.0,23.8795,23.58333333333333,57.2315,56.970333333333336,,0.2577422577422579,,,
2024-08-05 07:00:00,22.92182,22.441665,19.7,14.858335,23.838,55.6525,3.959533333333333,195.21833333333333,913.6409316666668,23.041066666666666,0.0,23.989,23.686833333333333,55.78683333333333,55.516666666666666,,0.2567432567432571,,,
2024-08-05 08:00:00,23.18738,22.45833,19.64167,14.816665,24.9285,52.18983333333333,4.0092,203.8,914.0546233333332,169.48483333333334,0.0,25.08233333333333,24.767333333333333,52.4205,51.956,,0.2600733266733264,,,
2024-08-05 09:00:00,24.302585,22.4,19.7,14.8,26.460833333333333,48.7785,2.8263166666666666,224.335,914.4397866666666,306.93833333333333,0.0,26.611666666666668,26.297666666666668,49.10033333333333,48.44616666666666,,0.2607392607392609,,,
2024-08-05 10:00:00,26.69269,22.4,19.616665,14.9,30.286,44.67316666666667,2.0934833333333334,298.72166666666664,914.7693616666668,554.7233333333334,0.0,30.453666666666667,30.120166666666663,45.3135,44.071000000000005,,0.2600733266733267,,,
2024-08-05 11:00:00,28.64268,22.383335,19.6,14.8,31.600666666666665,43.84766666666667,2.4596,265.0543,915.326275,709.3183333333333,0.0,31.772166666666667,31.43133333333333,44.60783333333333,43.05433333333333,,0.2654011988011988,,,
2024-08-05 12:00:00,29.5523,22.275,19.6,14.825,32.64566666666666,39.38866666666667,3.468933333333333,219.4854,915.8111433333332,661.9016666666666,0.0,32.80166666666666,32.48766666666667,40.3295,38.42016666666667,1.917982467088498,0.268731268731269,,,
2024-08-05 13:00:00,30.54445,22.2,19.591665,14.783335,34.04766666666667,37.88616666666667,3.5768833333333334,220.93481666666668,915.9806983333332,842.45,0.0,34.21066666666666,33.867333333333335,39.018,36.70116666666667,1.5901014821373012,0.2737262737262738,,,
2024-08-05 14:00:00,31.36024,22.141665000000003,19.516665,14.7,35.01533333333334,34.61033333333333,3.5722,186.96466666666663,916.0623866666666,827.6833333333333,0.0,35.17466666666667,34.8565,35.82666666666667,33.5005,1.748678228891828,0.2823844155844155,,,
2024-08-05 15:00:00,31.831265,22.1,19.5,14.708335,35.01266666666666,32.58116666666667,3.653716666666667,221.98671666666667,916.1472866666668,746.4599999999999,0.0,35.174499999999995,34.840333333333334,33.532333333333334,31.6465,1.75729130669533,0.2843822177822173,,,
2024-08-05 16:00:00,31.426225,22.024995,19.483335,14.65,34.643,32.3555,3.7736,108.61826666666668,916.324275,663.0083333333333,0.0,34.799166666666665,34.48266666666667,33.148833333333336,31.476333333333333,,0.2903764235764237,,,
2024-08-05 17:00:00,31.178505,21.991665,19.441665,14.625,34.09166666666667,31.1725,3.7045666666666666,78.3607,916.5068233333332,508.145,0.0,34.24733333333334,33.93366666666667,31.90666666666667,30.479666666666667,,0.2943724275724276,,,
2024-08-05 18:00:00,30.39544,21.916665,19.408335,14.616665,33.178333333333335,32.81316666666667,3.8710333333333335,33.927,916.8690283333332,345.0466666666667,0.0,33.333,33.01866666666667,33.35516666666667,32.253,,0.2990343656343657,,,
2024-08-05 19:00:00,29.290025,21.9,19.4,14.575,31.449666666666666,37.82666666666667,3.0042,32.333333333333336,917.2822666666668,155.01083333333332,0.0,31.60333333333333,31.294666666666668,38.21416666666666,37.42083333333333,,0.3016983016983024,,,
2024-08-05 20:00:00,27.134325,21.9,19.4,14.64167,28.95266666666667,44.027166666666666,2.6768333333333336,32.811,917.9451483333332,29.69425,0.0,29.09233333333333,28.80183333333333,44.25966666666667,43.787,,0.2990341658341663,,,
2024-08-05 21:00:00,24.874415,21.916665,19.4,14.583335,25.88883333333333,57.57449999999999,2.538083333333333,40.084,918.9704966666668,0.0,0.0,26.036,25.736666666666668,57.75033333333333,57.4075,,0.3006993006993008,,,
2024-08-05 22:00:00,22.942005,21.91666,19.408335,14.575,23.58083333333333,65.68783333333333,3.4584,41.378,920.160525,0.0,0.0,23.73183333333333,23.43116666666667,65.84133333333334,65.53316666666666,,0.3006995004995005,,,
2024-08-05 23:00:00,20.878355,21.90833,19.383335,14.6,21.046666666666667,75.74066666666666,3.4277333333333333,39.95933333333333,920.7897966666666,0.0,0.0,21.190166666666663,20.893666666666665,75.9015,75.5775,,0.3010323676323675,,,
2024-08-06 00:00:00,18.775375,21.925,19.375,14.6,19.030666666666665,84.065,2.877366666666666,40.78266666666666,921.1103133333332,0.0,0.0,19.172166666666666,18.877666666666663,84.23166666666665,83.9,,0.3006993006993005,2.7175442629533153,3.2610531155439784,1.2
2024-08-06 01:00:00,17.569375,21.891665,19.408335,14.633335,18.076166666666666,87.47833333333332,3.059966666666667,37.88533333333333,921.224425,0.0,0.0,18.215,17.921166666666668,87.62666666666668,87.32,,0.2993672327672326,,,
2024-08-06 02:00:00,16.680225,21.9,19.4,14.575,17.426499999999997,89.80833333333334,2.69385,37.368833333333335,921.3823716666668,0.0,0.0,17.574333333333335,17.2745,89.95666666666666,89.63333333333334,,0.3016983016983024,,,
2024-08-06 03:00:00,17.512265,21.9,19.4,14.55,17.971166666666665,86.135,2.78865,43.78066666666667,921.66912,0.0,0.0,18.102666666666668,17.823500000000003,86.30166666666668,85.96333333333334,,0.3026973026973026,,,
2024-08-06 04:00:00,18.175855,21.9,19.408335,14.58333,17.91433333333333,85.57333333333332,3.0475833333333333,47.50483333333333,921.4550933333334,0.0,0.0,18.0455,17.764333333333337,85.72666666666667,85.41833333333334,,0.3010323676323675,,,
2024-08-06 05:00:00,17.567794999999997,21.875,19.4,14.608335,17.229833333333332,89.13666666666667,2.4873333333333334,31.462,922.2652683333332,0.0,0.0,17.38133333333333,17.078500000000002,89.30666666666666,88.97,,0.3013652347652347,,,
2024-08-06 06:00:00,16.987825,21.875,19.4,14.616665,16.6555,93.025,1.61155,56.010016666666665,922.533045,0.0063666666666666,0.0,16.794666666666668,16.499833333333335,93.20666666666666,92.82833333333332,,0.3010323676323682,,,
2024-08-06 07:00:00,16.525325000000002,21.825000000000003,19.4,14.608335,16.041,97.515,2.4374666666666664,49.45333333333333,922.65322,16.803633333333334,0.0,16.1685,15.898833333333334,97.65666666666668,97.33833333333334,,0.3033632367632365,,,
