TIMESTAMP,IRT5010C1xx24,TDR5010C10624,TDR5010C11824,TDR5010C13024,DEN5010C1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-08-09 16:00:00,16.760415000000002,23.716665,18.016665,12.608335,0.0,17.011333333333333,64.91233333333334,2.300383333333333,214.8883333333333,924.6656716666668,128.21833333333333,0.0,17.158,16.849,65.43583333333333,64.3985,0.5715835346904223,0.3629704295704299,,,
2024-08-09 17:00:00,16.357455,23.8,18.075000000000003,12.6,0.0,16.950333333333333,65.95033333333333,1.6588666666666667,197.09166666666667,924.2429916666666,130.73,0.0,17.0995,16.789666666666665,66.53433333333334,65.39216666666667,1.5512246564968262,0.3576423576423575,,,
2024-08-09 18:00:00,16.661479999999997,23.78333,18.016665,12.6,0.0,17.131333333333334,66.2575,1.7467666666666666,207.66,923.75486,116.68466666666669,0.0,17.2805,16.9735,66.75683333333333,65.7755,,0.3606395604395605,,,
2024-08-09 19:00:00,16.22953,23.791665,18.0,12.6,0.0,16.537166666666668,74.50516666666667,2.2175,212.94166666666663,923.7124866666668,45.33316666666667,0.0,16.684166666666666,16.380333333333333,74.80283333333334,74.1985,,0.3609724275724275,,,
2024-08-09 20:00:00,15.189285,23.78333,18.0,12.566665,0.0,15.738,80.49333333333334,1.6506666666666667,204.045,923.463425,3.76915,0.0,15.875166666666669,15.572833333333334,80.70916666666668,80.284,,0.3626375624375627,,,
2024-08-09 21:00:00,14.36955,23.8,17.983335,12.583335,0.0,15.338333333333331,81.03299999999999,1.242916666666667,183.82666666666668,923.48513,0.0,0.0,15.481666666666666,15.183166666666668,81.28066666666668,80.78,,0.361971228771229,,,
2024-08-09 22:00:00,14.274305,23.833335,18.0,12.6,0.0,15.194333333333333,82.58166666666666,1.3416,197.92666666666668,923.8949616666666,0.0,0.0,15.3425,15.036333333333332,82.80333333333333,82.36999999999999,,0.3593072927072926,,,
2024-08-09 23:00:00,14.451855,23.86667,18.0,12.591665,0.0,14.993,84.35666666666665,1.4585666666666666,213.77,923.88849,0.0,0.0,15.136333333333337,14.8315,84.54833333333333,84.16833333333334,,0.3583082917082921,,,
2024-08-10 00:00:00,14.24785,23.891665,18.0,12.591665,0.0,14.716666666666669,87.47166666666666,0.96045,209.8,923.7027966666668,0.0,0.0,14.856333333333334,14.550166666666666,87.655,87.27,,0.3573094905094902,2.2061023220839964,2.6473227865007956,1.2
2024-08-10 01:00:00,14.01988,23.875,17.991664999999998,12.591665,0.0,14.5515,86.95666666666666,0.8916833333333333,213.6616666666667,923.8913483333332,0.0,0.0,14.689833333333333,14.406666666666666,87.15166666666667,86.73833333333333,,0.3583084915084915,,,
2024-08-10 02:00:00,13.860335,23.90833,18.0,12.575,0.0,14.395166666666666,88.03,1.0465166666666663,186.3,923.4035083333332,0.0,0.0,14.512333333333334,14.2415,88.24333333333334,87.815,,0.3573094905094905,,,
2024-08-10 03:00:00,13.980975,23.90833,17.96667,12.56667,0.0,14.275166666666667,86.11833333333334,2.0673,198.13333333333333,923.421855,0.0,0.0,14.425166666666666,14.121333333333332,86.28833333333334,85.92333333333333,,0.358974225774226,,,
2024-08-10 04:00:00,13.797585,23.90833,18.0,12.55833,0.0,14.263833333333334,84.72,2.24985,181.825,923.0413416666668,0.0,0.0,14.407166666666669,14.102666666666666,84.91666666666667,84.51,,0.3579756243756245,,,
2024-08-10 05:00:00,13.88245,23.916665,18.0,12.55,0.0,14.215666666666667,84.06,2.3333833333333334,170.96666666666667,922.6696983333334,0.0,0.0,14.352166666666667,14.060666666666666,84.25,83.86,,0.3579754245754248,,,
2024-08-10 06:00:00,13.796125,23.9,17.991664999999998,12.53333,0.0,14.1815,84.35166666666667,2.54985,177.89166666666668,922.803835,0.0,0.0,14.325666666666669,14.027333333333331,84.52833333333334,84.17166666666667,,0.3596405594405596,,,
2024-08-10 07:00:00,13.98873,23.95,17.95833,12.525,0.0,14.329166666666667,84.62166666666667,2.45795,181.235,923.1605666666668,7.55075,0.0,14.4765,14.170166666666669,84.81666666666666,84.42833333333333,,0.3593074925074923,,,
2024-08-10 08:00:00,14.359425,23.96667,17.991664999999998,12.575,0.0,14.622333333333334,83.98333333333333,2.2188,173.12166666666664,923.3524616666668,44.893166666666666,0.0,14.7605,14.462333333333332,84.22166666666666,83.73166666666665,,0.3553112887112884,,,
2024-08-10 09:00:00,14.87305,23.991665,17.991664999999998,12.558335,0.0,14.903166666666666,83.33166666666666,3.2704166666666667,172.215,923.414,86.086,0.0,15.040833333333332,14.7455,83.61333333333333,83.08166666666666,,0.3549784215784218,,,
2024-08-10 10:00:00,15.44379,23.98333,18.0,12.55,0.0,15.537,77.43183333333333,4.04265,179.15333333333334,923.2856816666666,211.64,0.0,15.675,15.378833333333334,77.83850000000001,77.0115,,0.3553114885114884,,,
2024-08-10 11:00:00,17.527815,23.983335,17.93333,12.525,0.0,16.670166666666667,71.20533333333333,4.548366666666666,179.76166666666668,923.1044,342.9116666666667,0.0,16.817166666666665,16.512666666666668,71.66033333333333,70.73783333333334,,0.3589744255744254,,,
2024-08-10 12:00:00,17.03521,23.98333,17.975,12.591665,0.0,16.558333333333334,73.848,4.007183333333334,181.015,922.88833,261.045,0.0,16.710333333333335,16.390166666666666,74.361,73.38866666666667,,0.3546455544455545,,,
2024-08-10 13:00:00,17.953815,23.958335,18.0,12.591665,0.0,17.313333333333333,72.18816666666666,3.803216666666666,180.97333333333333,922.3118016666666,328.96500000000003,0.0,17.4705,17.14816666666667,72.69933333333333,71.66233333333334,,0.3546453546453542,,,
2024-08-10 14:00:00,18.130825,23.966665,17.991664999999998,12.566665,0.0,17.87933333333333,71.65083333333334,2.75495,193.5833333333333,921.83098,326.43,0.0,18.029666666666667,17.721,72.32683333333333,71.00316666666667,,0.3556445554445554,,,
2024-08-10 15:00:00,19.316215,23.9,18.0,12.525,0.0,19.102833333333333,67.78533333333333,2.28265,168.11833333333334,921.189575,316.95166666666665,0.0,19.254,18.935,68.44699999999999,67.1645,,0.3596403596403596,,,
2024-08-10 16:00:00,19.881485,23.9,17.95,12.525,0.0,19.6165,65.499,2.326,171.45166666666668,920.710485,262.45166666666665,0.0,19.76483333333333,19.454666666666665,66.15050000000001,64.83816666666667,,0.3616383616383617,,,
2024-08-10 17:00:00,19.708935,23.9,17.958334999999998,12.533335,0.0,19.677666666666667,64.715,1.9779166666666663,159.90666666666667,920.2118033333334,200.715,0.0,19.823500000000003,19.512833333333333,65.3425,64.15566666666668,,0.3609722277722281,,,
2024-08-10 18:00:00,19.301015,23.9,17.958334999999998,12.566665,0.0,19.42866666666667,65.4245,1.94525,160.68166666666667,919.7764883333332,105.8775,0.0,19.563,19.28083333333333,65.899,65.0025,,0.3596403596403599,,,
2024-08-10 19:00:00,18.247390000000003,23.9,17.991664999999998,12.533335,0.0,18.566666666666663,69.26816666666667,2.297483333333333,168.47833333333335,919.60429,34.76683333333334,0.0,18.7085,18.416833333333333,69.56416666666668,68.97983333333333,,0.3596403596403596,,,
2024-08-10 20:00:00,17.41795,23.9,17.924999999999997,12.51667,0.0,17.812,72.738,2.653766666666667,168.87833333333336,919.7743266666668,4.910066666666666,0.0,17.9515,17.6505,72.93133333333334,72.52916666666667,,0.3629702297702299,,,
2024-08-10 21:00:00,16.645815,23.9,17.950000000000003,12.533335,0.0,16.947333333333333,78.13616666666667,2.70515,166.34666666666666,920.46323,0.0,0.0,17.0835,16.789166666666667,78.29866666666666,77.9645,,0.3613052947052947,,,
2024-08-10 22:00:00,16.176655,23.925,17.95833,12.508335,0.0,16.3735,81.617,2.73135,162.6616666666667,921.1078533333332,0.0,0.0,16.509833333333333,16.21783333333333,81.766,81.4665,,0.3609724275724275,,,
2024-08-10 23:00:00,15.71135,23.916665,18.0,12.516665,0.0,16.043,84.48833333333333,1.3697833333333334,153.57166666666666,921.224515,0.0,0.0,16.186833333333333,15.892833333333334,84.64,84.32166666666667,,0.359307492507493,,,
2024-08-11 00:00:00,15.37974,23.9,17.966665,12.5,0.0,15.888166666666669,86.0,0.3909,89.81783333333333,921.1169033333332,0.0,0.0,16.012333333333334,15.729333333333331,86.19666666666667,85.79166666666667,,0.3619714285714284,1.1806373916799975,1.416764870015997,1.2
2024-08-11 01:00:00,15.24493,23.90833,17.983335,12.533335,0.0,15.607166666666666,87.66666666666667,0.6361166666666667,124.0005,920.9034483333332,0.0,0.0,15.749333333333334,15.452833333333333,87.81666666666666,87.49833333333332,,0.3596403596403596,,,
2024-08-11 02:00:00,14.83169,23.90833,17.983335,12.5,0.0,15.357333333333337,89.97,1.3610166666666668,173.395,920.5467266666668,0.0,0.0,15.5035,15.2035,90.12833333333332,89.8,,0.3609724275724275,,,
2024-08-11 03:00:00,14.95005,23.925,18.0,12.5,0.0,15.0445,93.52333333333333,3.4501500000000003,170.92000000000002,918.86084,0.0,0.0,15.179833333333333,14.893166666666668,93.66833333333334,93.355,,0.3596403596403596,,,
2024-08-11 04:00:00,14.501375,23.966665,17.916665000000002,12.5,0.0,15.005833333333332,94.61666666666666,2.510083333333333,183.85,918.3440283333332,0.0,0.0,15.152666666666669,14.8485,94.75833333333334,94.44666666666669,,0.3613054945054948,,,
2024-08-11 05:00:00,14.54209,23.941665,17.966665,12.5,0.0,15.103,92.99666666666668,2.8361333333333336,176.845,918.3360766666666,0.0,0.0,15.241833333333334,14.930833333333334,93.13833333333334,92.83333333333331,,0.3603064935064932,,,
2024-08-11 06:00:00,14.6362,23.924995000000003,17.991664999999998,12.5,0.0,15.105833333333331,92.41,1.764066666666667,166.735,918.4866883333332,0.0,0.0,15.250666666666666,14.9505,92.56666666666666,92.24833333333332,,0.3599736263736263,,,
2024-08-11 07:00:00,15.06914,23.91666,18.0,12.491665,0.0,15.374833333333331,91.11,2.0738666666666665,159.18466666666666,918.5310233333332,8.985816666666667,0.0,15.5175,15.222,91.265,90.92666666666668,,0.3603066933066933,,,
2024-08-11 08:00:00,15.07785,23.983335,17.941665,12.5,0.0,15.181166666666666,94.00833333333334,2.2803,160.6965,918.4019766666668,10.576566666666668,0.0,15.322333333333336,15.028,94.17166666666668,93.83166666666666,,0.3596403596403596,,,
2024-08-11 09:00:00,15.0793,23.975,17.958334999999998,12.491665,0.0,15.333833333333333,95.71166666666666,2.0402666666666667,143.51396666666668,918.0342833333332,47.04183333333334,0.0042333333333333,15.481166666666669,15.1725,95.865,95.53333333333332,,0.3596403596403596,,,
