TIMESTAMP,TDR5026A20624,TDR5026A21824,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,eto,etc,kc
2024-07-03 11:00:00,20.1,21.258335,27.316333333333333,45.62933333333333,2.70025,191.70166666666668,916.065855,780.4966666666667,0.0,27.464166666666664,27.147666666666662,46.89233333333333,44.526,0.0554444555444554,,,
2024-07-03 12:00:00,20.108335,21.175,28.75733333333333,40.498666666666665,3.3658,173.45833333333334,915.4957966666666,869.7666666666667,0.0,28.9205,28.588166666666663,41.605,39.441833333333335,0.0599399600399601,,,
2024-07-03 13:00:00,20.158335,21.116665,29.107166666666668,42.2805,3.67055,175.1,914.94562,911.1,0.0,29.275666666666663,28.93,43.379,41.3135,0.0604395604395601,,,
2024-07-03 14:00:00,20.10833,21.058335,29.5905,41.748000000000005,4.43235,161.67000000000002,914.060455,891.4,0.0,29.761000000000003,29.41783333333333,42.66616666666666,40.882,0.0669331668331667,,,
2024-07-03 15:00:00,20.10833,21.0,29.57016666666667,42.549166666666665,5.4014,160.55666666666667,912.8677916666668,830.3383333333334,0.0,29.730166666666666,29.398333333333333,43.277166666666666,41.88633333333333,0.0704297702297703,,,
2024-07-03 16:00:00,20.1,20.825,29.367166666666662,48.277,5.045683333333333,157.18166666666667,912.3625133333334,689.2366666666666,0.0,29.53783333333333,29.18616666666667,48.88066666666667,47.69683333333333,0.0814185814185814,,,
2024-07-03 17:00:00,20.125,20.8,27.83033333333333,57.6155,4.430183333333333,159.11666666666667,911.6560983333331,272.2766666666667,0.0,27.997166666666665,27.657,58.1695,57.12733333333333,0.0814185814185814,,,
2024-07-03 18:00:00,20.291665,20.775,15.4305,93.0,3.6422666666666665,126.91438333333332,914.29143,1.4338166666666663,0.0,15.635666666666667,15.22,93.656,92.39466666666668,0.072927172827173,,,
2024-07-03 19:00:00,22.35833,20.8,14.409,97.70666666666666,3.085633333333333,126.74833333333332,914.3549666666668,0.0,0.0,14.551166666666669,14.257333333333332,97.84666666666666,97.55833333333334,0.0,,,
2024-07-03 20:00:00,26.266665,20.8,15.131333333333334,94.09666666666666,2.644433333333333,135.27366666666666,911.9402366666668,12.615666666666668,0.0,15.2715,14.982,94.28833333333334,93.88333333333334,0.0,,,
2024-07-03 21:00:00,27.916665,20.84167,15.411,93.11,1.00635,127.01516666666666,912.4521433333332,9.44945,0.0,15.551666666666668,15.2555,93.28,92.92666666666668,0.0,,,
