TIMESTAMP,IRT2023C1xx24,TDR2023C10624,TDR2023C11824,TDR2023C13024,TDR2023C14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,et
2024-07-18 11:00:00,26.14114,21.8,19.12,21.1,24.1,26.198666666666668,51.978,4.1493,191.76666666666668,922.1917583333332,710.7683333333333,0.0,26.370833333333334,26.032,52.50116666666667,51.4665,,0.0,
2024-07-18 12:00:00,27.93303,21.808335,19.15,21.1,24.08333,27.561,48.2135,4.074933333333333,184.71166666666667,921.83805,811.23,0.0,27.729,27.38683333333333,48.74566666666667,47.7425,,0.0,
2024-07-18 13:00:00,29.961435,21.75,19.141665000000003,21.091665,24.066665,28.872666666666664,44.2285,3.7894,180.185,921.4009066666666,862.5166666666667,0.0,29.038833333333333,28.68733333333333,44.78566666666666,43.723,,0.0,
2024-07-18 14:00:00,31.91307,21.741665,19.1,21.075000000000003,24.05,30.10533333333333,40.67100000000001,3.508433333333333,181.47,920.8072816666668,861.3666666666667,0.0,30.2775,29.916666666666668,41.23866666666667,40.16,,0.0,
2024-07-18 15:00:00,32.547965000000005,21.691665,19.083335,21.075,24.041665,30.70383333333333,39.89433333333333,3.6328833333333335,165.71,920.2955216666668,772.2516666666667,0.0,30.8785,30.514333333333333,40.3485,39.47583333333333,,0.0,
2024-07-18 16:00:00,30.30158,21.666665,19.033335,21.033335,24.041665,30.996,37.94683333333333,3.2146833333333333,157.095,919.8663616666666,630.2483333333333,0.0,31.168,30.81883333333333,38.34016666666666,37.56816666666667,,0.0,
2024-07-18 17:00:00,29.0564,21.675,19.0,21.0,24.03333,31.18533333333333,38.155,3.456533333333333,157.37833333333336,919.376805,518.3466666666667,0.0,31.3545,30.997,38.526833333333336,37.81633333333333,,0.0,
2024-07-18 18:00:00,27.46475,21.658335,19.0,20.983335,24.03333,30.860666666666667,39.38216666666666,3.2282,154.5366666666667,918.8851166666668,343.32166666666666,0.0,31.019166666666667,30.6965,39.65766666666666,39.12966666666667,,0.0,
2024-07-18 19:00:00,25.7394,21.7,18.991665,20.958335,24.025,29.4225,45.18683333333333,3.315166666666667,151.1266666666667,918.6639416666666,175.90666666666667,0.0,29.55883333333333,29.267666666666667,45.3785,44.98216666666666,,0.0,
2024-07-18 20:00:00,23.19663,21.7,19.0,21.041665,24.025,27.368,52.452666666666666,2.8913,148.52833333333334,918.7556383333334,44.46891666666667,0.0,27.508166666666668,27.21966666666667,52.59316666666667,52.314,,0.0,
