TIMESTAMP,TDR5007B40624,TDR5007B41824,TDR5007B43024,TDR5007B44224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et
2024-07-08 16:00:00,24.466665000000003,18.7,22.091665000000003,18.675,27.87983333333333,33.71483333333333,1.4919833333333334,246.4379833333333,917.3243816666668,774.3783333333333,0.0,28.04533333333333,27.704833333333333,35.36033333333333,32.24783333333333,0.0189811188811187,
2024-07-08 17:00:00,24.399999999999995,18.691665,22.00833,18.616665,27.8365,33.513666666666666,1.2270833333333333,178.79976666666667,916.89165,591.3266666666666,0.0,27.999666666666663,27.67033333333333,35.098,32.035833333333336,0.0254747252747253,
2024-07-08 18:00:00,24.399999999999995,18.69167,21.949995,18.625,28.07483333333333,31.83833333333333,0.7585,235.77916666666667,916.6664383333332,415.0416666666667,0.0,28.226166666666664,27.910500000000003,33.22633333333333,30.532,0.026973076923077,
2024-07-08 19:00:00,24.35,18.675,21.899999999999995,18.625,27.12066666666667,34.12166666666666,0.7867333333333334,76.27136666666667,916.4614866666668,230.98666666666668,0.0,27.271,26.960666666666665,35.236,33.1375,0.0304695304695304,
2024-07-08 20:00:00,24.375,18.691665,21.899999999999995,18.608335,25.473166666666668,42.068333333333335,0.2979666666666666,73.48066666666666,916.6272533333332,70.67399999999999,0.0,25.61433333333333,25.32033333333333,43.040333333333336,41.010666666666665,0.0297202797202797,
2024-07-08 21:00:00,24.375,18.758335,21.899999999999995,18.616665,21.42683333333333,53.894,1.1509166666666668,152.595,916.80894,0.9982833333333332,0.0,21.59783333333333,21.256,54.550666666666665,53.2945,0.0274725274725277,
2024-07-08 22:00:00,24.399999999999995,18.708335,21.899999999999995,18.616665,17.05216666666667,72.79116666666667,1.6867833333333333,199.9116666666667,917.3934383333332,0.0,0.0,17.203500000000002,16.897833333333335,72.98833333333333,72.57466666666666,0.0282217782217784,
2024-07-08 23:00:00,24.383335,18.641665,21.899999999999995,18.641665,18.380333333333333,67.736,2.374283333333333,180.82666666666668,917.7733416666669,0.0,0.0,18.5325,18.22383333333333,67.93366666666667,67.53866666666667,0.0299700799200804,
2024-07-09 00:00:00,24.383335,18.683335,21.899999999999995,18.633335,18.51533333333333,67.26783333333334,2.29295,179.895,918.0830583333334,0.0,0.0,18.660833333333336,18.354,67.50616666666666,67.03566666666667,0.0289708791208795,5.497959991481795
2024-07-09 01:00:00,24.366665,18.65,21.899999999999995,18.633335,17.825833333333332,72.12566666666666,2.3375666666666666,192.32333333333327,918.042745,0.0,0.0,17.979499999999998,17.668666666666663,72.367,71.87883333333333,0.0304695304695307,
2024-07-09 02:00:00,24.325,18.683335,21.916665,18.64167,15.8405,81.25866666666667,1.9963,197.27,917.8239483333332,0.0,0.0,15.979833333333334,15.688166666666666,81.405,81.08866666666667,0.0299699300699301,
2024-07-09 03:00:00,24.3,18.675,21.899999999999995,18.608335,14.818333333333332,85.72833333333332,1.9925666666666664,193.37,917.555815,0.0,0.0,14.9525,14.669333333333332,85.87666666666668,85.58833333333334,0.0324674825174827,
2024-07-09 04:00:00,24.35,18.7,21.93333,18.616665,14.186833333333334,86.95333333333333,0.8516833333333333,146.3766666666667,917.4809116666668,0.0,0.0,14.326833333333331,14.036333333333332,87.13166666666666,86.76,0.0289711788211787,
2024-07-09 05:00:00,24.3,18.766665,21.899999999999995,18.608335,11.684333333333331,92.79,0.6274833333333334,142.035,917.6248066666668,0.0,0.0,11.826833333333331,11.525,93.025,92.54833333333332,0.0297202797202801,
2024-07-09 06:00:00,24.325,18.675,21.941665,18.591665000000003,10.130833333333332,96.55,1.2562,192.16666666666663,917.574845,12.559966666666666,0.0,10.273,9.975333333333332,96.69166666666666,96.38166666666666,0.0309691308691307,
2024-07-09 07:00:00,24.258335,18.716665000000003,21.95,18.608335,13.4435,91.45783333333334,0.97405,162.845,917.5969416666668,122.1075,0.0,13.607,13.280666666666669,91.73183333333331,91.153,0.0309689810189811,
2024-07-09 08:00:00,24.291665,18.658330000000003,21.95833,18.61667,18.342166666666667,71.88916666666667,0.5568000000000001,274.1426666666667,917.6933033333332,298.4116666666667,0.0,18.484666666666666,18.18883333333333,72.729,71.0625,0.031218931068931,
2024-07-09 09:00:00,24.216664999999995,18.7,21.975,18.6,21.95433333333333,62.85183333333334,1.04655,277.71365,917.5363566666668,474.8316666666667,0.0,22.099666666666668,21.79416666666667,64.3255,61.50933333333333,0.032217832167832,
2024-07-09 10:00:00,24.216664999999995,18.725,21.899999999999995,18.608335,25.528,49.21266666666667,1.2414666666666667,255.646,917.4026516666668,638.1,0.0,25.6755,25.372,50.718,47.7835,0.0334665334665337,
2024-07-09 11:00:00,24.208335,18.658335,21.899999999999995,18.583335,27.93616666666667,41.89833333333333,0.99415,229.7121833333333,917.2100166666668,771.2733333333333,0.0,28.0905,27.767666666666667,43.327666666666666,40.577,0.0364633866133865,
2024-07-09 12:00:00,24.14167,18.70833,21.85,18.575,29.37333333333333,29.4725,1.549216666666667,159.32999999999998,916.9736366666668,868.2833333333333,0.0,29.52833333333333,29.2065,31.027,28.07033333333333,0.0387112887112887,
2024-07-09 13:00:00,24.091665000000003,18.658335,21.741665,18.508335,30.383166666666668,27.828666666666667,1.1600833333333334,172.9121,916.4878316666668,909.4833333333332,0.0,30.545666666666666,30.208666666666662,29.21733333333333,26.633333333333333,0.0469530469530467,
2024-07-09 14:00:00,24.016665,18.616665,21.633335,18.5,30.853666666666665,29.4705,1.3533,161.89675,916.0719216666668,896.6,0.0,31.015,30.678166666666662,30.799666666666667,28.28633333333333,0.0539461038961037,
2024-07-09 15:00:00,24.0,18.683335,21.541665,18.45,31.258166666666668,28.252,1.7457166666666666,151.45466666666667,915.82531,834.0433333333333,0.0,31.4125,31.085,29.40683333333333,27.247166666666665,0.0566933066933067,
2024-07-09 16:00:00,23.925,18.666665,21.399999999999995,18.48333,30.70233333333333,34.973,2.38565,57.69533333333333,915.67652,684.9016666666666,0.0,30.855166666666666,30.540000000000003,36.1945,33.882333333333335,0.0626874625374627,
2024-07-09 17:00:00,23.899999999999995,18.533335,21.341665000000003,18.425,29.968166666666665,36.31133333333333,2.394333333333333,63.29733333333333,915.4770116666666,567.3866666666667,0.0,30.117666666666665,29.80816666666667,37.25483333333333,35.38133333333334,0.0709290709290711,
2024-07-09 18:00:00,23.899999999999995,18.64167,21.241670000000003,18.4,29.686833333333333,36.056,1.6761666666666666,74.1365,915.414245,398.92,0.0,29.826166666666666,29.527833333333334,36.908,35.261833333333335,0.0714283716283715,
2024-07-09 19:00:00,23.883335,18.591665000000003,21.2,18.4,28.71733333333333,37.344,1.3963333333333334,106.55083333333332,915.46199,214.295,0.0,28.858,28.559833333333334,37.871833333333335,36.888333333333335,0.0746753246753244,
2024-07-09 20:00:00,23.883335,18.658335,21.2,18.425,26.709333333333333,44.6535,0.6365999999999999,122.19433333333332,915.74607,56.143166666666666,0.0,26.85383333333333,26.550166666666662,45.002500000000005,44.36866666666666,0.0719279720279721,
2024-07-09 21:00:00,23.899999999999995,18.625,21.2,18.41667,23.407666666666668,57.55433333333333,1.0299166666666666,156.275,916.0196616666668,0.6657333333333334,0.0,23.549666666666667,23.26066666666667,57.7695,57.35083333333333,0.0726772227772228,
2024-07-09 22:00:00,23.875,18.625,21.2,18.433335,22.5245,59.66383333333333,1.5737,155.46666666666667,916.6768166666666,0.0,0.0,22.660500000000003,22.38283333333333,59.834,59.5075,0.0729270229770231,
2024-07-09 23:00:00,23.899999999999995,18.7,21.2,18.408335,20.13133333333333,68.7025,0.4517666666666667,108.94533333333334,917.270925,0.0,0.0,20.296333333333333,19.966666666666665,69.06266666666667,68.32,0.0706792707292711,
2024-07-10 00:00:00,23.883335,18.666665,21.2,18.466665000000003,19.57733333333333,70.87816666666666,1.2851333333333337,162.52833333333334,917.5739283333334,0.0,0.0,19.72683333333333,19.409,71.09383333333334,70.65516666666667,0.0704296203796204,5.0633406876315945
2024-07-10 01:00:00,23.833335,18.66667,21.2,18.408335,19.697333333333333,69.66666666666667,1.3735,178.04751666666667,917.5502216666666,0.0,0.0,19.841833333333334,19.539166666666667,69.88083333333334,69.44416666666666,0.0736761238761238,
2024-07-10 02:00:00,23.85,18.591665000000003,21.2,18.46667,17.113833333333332,80.25933333333334,0.3490666666666666,74.44733333333333,917.7077333333332,0.0,0.0,17.267166666666665,16.958833333333335,80.59483333333333,79.90983333333334,0.0736762737262734,
2024-07-10 03:00:00,23.85,18.608335,21.216665,18.433335,15.13,89.925,0.3492833333333333,120.13,917.667065,0.0,0.0,15.277166666666666,14.978833333333334,90.12666666666668,89.69333333333334,0.0736762737262734,
2024-07-10 04:00:00,23.858335,18.625,21.2,18.433335,14.796,91.9,0.7277833333333333,133.06866666666667,917.482215,0.0,0.0,14.936666666666667,14.638833333333334,92.11666666666666,91.67,0.0734264735264734,
2024-07-10 05:00:00,23.81667,18.59167,21.2,18.4,13.933833333333332,92.695,0.7835333333333333,125.08866666666668,917.3506516666667,0.0,0.0,14.084,13.7815,92.935,92.44833333333332,0.0766731268731271,
2024-07-10 06:00:00,23.825,18.55,21.216665,18.466665000000003,13.294,94.00166666666668,0.5502,134.165,917.5295783333332,7.476766666666666,0.0,13.4335,13.1285,94.22333333333331,93.75833333333334,0.075174925074925,
2024-07-10 07:00:00,23.8,18.66667,21.21667,18.433335,15.127666666666666,91.07166666666669,0.3936833333333333,137.25,917.85686,108.7255,0.0,15.2755,14.971666666666666,91.33166666666666,90.815,0.0734263236763238,
2024-07-10 08:00:00,23.8,18.64167,21.2,18.433335,20.53683333333333,70.91533333333334,0.9313833333333332,212.4116666666667,917.89995,292.955,0.0,20.67866666666667,20.387166666666666,71.70133333333334,70.17949999999999,0.0746751748251748,
2024-07-10 09:00:00,23.8,18.683335,21.21667,18.45,23.6505,56.589000000000006,0.8865333333333333,278.82375,918.1024533333332,471.68,0.0,23.794500000000003,23.49083333333333,57.653,55.50783333333333,0.0724274225774225,
2024-07-10 10:00:00,23.7,18.60833,21.2,18.4,25.060333333333336,52.86933333333333,1.2643,260.46396666666664,918.2234566666666,636.35,0.0,25.2135,24.90483333333333,54.03433333333333,51.754333333333335,0.0796704295704297,
2024-07-10 11:00:00,23.691665,18.65,21.2,18.408335,26.985666666666667,51.58316666666666,2.0047333333333333,162.47131666666667,918.2586333333333,768.5633333333334,0.0,27.1455,26.8245,53.058,50.3455,0.0784215784215784,
2024-07-10 12:00:00,23.65,18.633335,21.1,18.391665,29.445,45.021166666666666,2.1032333333333333,44.41566666666667,918.2115416666668,860.8,0.0,29.604,29.27833333333333,46.459500000000006,43.724,0.0836663336663337,
2024-07-10 13:00:00,23.591665000000003,18.65,21.025,18.36667,30.461666666666662,40.627500000000005,2.11455,48.69623333333333,918.0770933333332,896.1133333333333,0.0,30.618166666666664,30.2955,41.9335,39.38966666666667,0.0879120379620381,
2024-07-10 14:00:00,23.55,18.591665000000003,20.925,18.325,30.41483333333333,36.61300000000001,2.01605,56.67208333333333,917.8104583333334,606.1266666666667,0.0,30.6065,30.210833333333333,37.96583333333333,35.37133333333334,0.0951548951048947,
2024-07-10 15:00:00,23.50833,18.575,20.8,18.3,30.2765,38.53416666666667,2.0223,49.884,917.6799433333332,614.745,0.0,30.46633333333333,30.073,39.67550000000001,37.39416666666667,0.1013987012987013,
2024-07-10 16:00:00,23.5,18.541665,20.725,18.266665,30.230166666666666,36.79683333333333,2.325416666666667,50.781216666666666,917.44148,475.8033333333333,0.0,30.41483333333333,30.03216666666667,37.962,35.693666666666665,0.105894205794206,
2024-07-10 17:00:00,23.416665,18.625,20.683335,18.28333,30.630666666666663,35.15566666666667,2.0586666666666664,52.48033333333333,917.2750466666668,562.6650000000001,0.0,30.799,30.471,36.379333333333335,34.020833333333336,0.1066434565434567,
2024-07-10 18:00:00,23.399999999999995,18.6,20.583335,18.275,30.075,38.189166666666665,2.2363833333333334,47.756166666666665,917.169045,396.4716666666666,0.0,30.2265,29.916666666666668,39.09366666666666,37.2565,0.1111388111888114,
2024-07-10 19:00:00,23.399999999999995,18.641665,20.5,18.275,29.0045,41.934,1.5653666666666666,57.54333333333333,917.2142833333334,215.41666666666663,0.0,29.152833333333334,28.843,42.56016666666667,41.34066666666667,0.1123876623376627,
2024-07-10 20:00:00,23.40833,18.61667,20.5,18.283335,26.919,49.70616666666667,0.44475,62.13699999999999,917.4603316666668,63.373333333333335,0.0,27.06433333333333,26.76683333333333,50.21483333333333,49.18266666666667,0.1126373126873127,
2024-07-10 21:00:00,23.399999999999995,18.625,20.5,18.283335,22.53033333333333,64.57233333333333,0.1207333333333333,77.21166666666666,917.7939166666667,0.6495666666666666,0.0,22.6785,22.367166666666662,64.99416666666667,64.17816666666667,0.1126373126873127,
2024-07-10 22:00:00,23.399999999999995,18.59167,20.5,18.291665,21.8475,68.7105,0.3493333333333333,92.88216666666668,918.282815,0.0,0.0,22.002666666666663,21.697166666666664,68.8775,68.54516666666667,0.1133865634365634,
2024-07-10 23:00:00,23.399999999999995,18.625,20.5,18.291665,21.5535,70.903,0.8165,105.95216666666668,918.824565,0.0,0.0,21.69533333333333,21.419500000000003,71.06316666666666,70.75133333333333,0.1123876623376624,
2024-07-11 00:00:00,23.399999999999995,18.56667,20.508335,18.3,20.3435,78.132,0.7242666666666667,77.64433333333334,919.0009416666668,0.0,0.0,20.4905,20.18283333333333,78.31466666666667,77.95766666666667,0.1136362137862141,5.253989392582065
2024-07-11 01:00:00,23.399999999999995,18.55,20.5,18.3,18.83933333333333,85.90833333333333,0.4950833333333333,54.957166666666666,918.8418066666668,0.0,0.0,18.984,18.686,86.11,85.705,0.1143856143856147,
2024-07-11 02:00:00,23.391665,18.525,20.508335,18.3,16.697166666666668,94.045,0.3714666666666666,122.78596666666668,918.6610266666668,0.0,0.0,16.8355,16.544666666666664,94.25833333333334,93.80166666666668,0.1151348651348651,
2024-07-11 03:00:00,23.383335,18.575,20.5,18.3,15.559166666666666,96.75333333333332,0.7016666666666667,220.1653333333333,918.51239,0.0,0.0,15.702666666666666,15.401666666666667,96.96333333333334,96.52666666666669,0.1141358141858141,
2024-07-11 04:00:00,23.383335,18.53333,20.533335,18.3,14.323666666666666,98.17,0.5184833333333334,179.08166666666665,918.4555766666668,0.0,0.0,14.471166666666669,14.175,98.33666666666666,98.00833333333334,0.1143856143856147,
2024-07-11 05:00:00,23.34167,18.641665,20.525,18.3,13.782,99.13666666666668,0.5312,137.065,918.2904616666668,0.0,0.0,13.936833333333334,13.613333333333332,99.28666666666666,98.965,0.1126373126873127,
2024-07-11 06:00:00,23.366665,18.575,20.55,18.3,15.112666666666666,99.61666666666666,0.3799166666666666,153.73333333333332,918.7806533333334,3.2197166666666663,0.0,15.251833333333334,14.949833333333334,99.77333333333333,99.46166666666666,0.1131369130869127,
2024-07-11 07:00:00,23.34167,18.51667,20.575,18.291665,16.228333333333335,99.74833333333332,0.2743166666666666,55.841883333333335,918.9350266666668,55.92433333333334,0.0,16.375833333333333,16.075166666666668,99.87,99.585,0.1151347152847151,
2024-07-11 08:00:00,23.333335,18.55,20.55,18.275,17.456666666666667,99.705,0.7759833333333332,59.46508333333333,919.0609433333334,215.18166666666667,0.0,17.59416666666667,17.29733333333333,99.855,99.54333333333332,0.1156343156843157,
2024-07-11 09:00:00,23.3,18.6,20.58333,18.283335,21.41033333333333,83.61566666666666,1.5326166666666663,67.05616666666667,918.9377733333332,449.1316666666667,0.0,21.57433333333333,21.254666666666665,84.42383333333333,82.7855,0.1138861638361637,
2024-07-11 10:00:00,23.3,18.65,20.533335,18.283335,25.694000000000003,59.434333333333335,1.68525,103.409,918.4980266666666,613.7466666666667,0.0,25.840666666666667,25.5425,60.249833333333335,58.584500000000006,0.1138860139860141,
2024-07-11 11:00:00,23.266665,18.533335,20.508335,18.275,27.830666666666666,53.913,1.6772,106.97766666666666,918.1900116666668,751.535,0.0,27.9845,27.6585,55.21383333333333,52.69116666666666,0.1193805694305694,
2024-07-11 12:00:00,23.2,18.55833,20.5,18.208335,29.4285,48.79,1.96265,108.88633333333334,917.895995,843.6166666666667,0.0,29.601666666666667,29.249166666666667,50.16483333333333,47.38666666666666,0.122877172827173,
2024-07-11 13:00:00,23.2,18.616665,20.475,18.208335,30.561666666666667,40.85266666666666,2.67925,146.45666666666665,917.5724416666668,879.6666666666666,0.0,30.72,30.3895,41.776833333333336,40.0495,0.1218781218781221,
2024-07-11 14:00:00,23.175,18.508335,20.4,18.2,31.181500000000003,39.30783333333333,2.7162833333333336,148.73,917.1988083333332,865.5416666666666,0.0,31.340666666666667,31.00633333333333,40.20766666666667,38.4905,0.1283715784215784,
2024-07-11 15:00:00,23.18333,18.55,20.333335,18.2,31.408,39.9795,3.8701,162.35333333333335,916.8755666666668,803.9966666666667,0.0,31.570666666666668,31.24233333333333,40.6815,39.333333333333336,0.128871178821179,
2024-07-11 16:00:00,23.100000000000005,18.55833,20.275,18.158335,31.116,40.6705,4.244916666666667,167.48999999999998,916.59716,699.52,0.0,31.281,30.938666666666663,41.276,40.12016666666667,0.1341159340659337,
2024-07-11 17:00:00,23.108335,18.566665,20.25,18.158335,30.970333333333333,38.94733333333333,3.9376,165.145,916.258475,547.605,0.0,31.125666666666667,30.806500000000003,39.54066666666667,38.418,0.1343655844155841,
2024-07-11 18:00:00,23.100000000000005,18.633335,20.208335,18.158330000000003,30.360833333333336,39.88433333333333,3.3911666666666664,154.8383333333333,915.9582516666668,365.5,0.0,30.514,30.2015,40.35116666666667,39.4435,0.1338661338661337,
2024-07-11 19:00:00,23.100000000000005,18.55,20.2,18.175,29.000166666666665,45.514,3.0763166666666666,145.00833333333333,915.5640933333332,170.85733333333334,0.0,29.153666666666663,28.843666666666667,45.80083333333334,45.24883333333333,0.136113886113886,
2024-07-11 20:00:00,23.091665000000003,18.58333,20.2,18.175,26.68433333333333,54.7325,1.8412166666666667,146.55666666666667,915.3951333333332,23.494950000000003,0.0,26.823666666666668,26.535,54.89566666666666,54.56666666666667,0.1353647852147853,
2024-07-11 21:00:00,23.108335,18.575,20.2,18.191665,24.385,65.95066666666666,1.0770333333333333,151.38333333333333,915.6135333333332,0.0003333333333333,0.0,24.531,24.229166666666668,66.1065,65.786,0.1346153846153847,
2024-07-11 22:00:00,23.108335,18.65,20.2,18.166665,23.0845,74.71583333333334,1.0099166666666666,145.06333333333333,915.925045,0.0,0.0,23.22266666666667,22.934166666666663,74.87116666666667,74.5545,0.1331168831168831,
2024-07-11 23:00:00,23.100000000000005,18.625,20.208335,18.18333,22.347166666666663,79.4305,0.9907333333333334,144.79166666666666,916.1130316666666,0.0,0.0,22.49833333333333,22.21,79.57733333333334,79.29216666666666,0.1333666833166834,
2024-07-12 00:00:00,23.11667,18.566665,20.2,18.16667,22.52833333333333,77.94133333333333,1.7938833333333333,146.7516666666667,916.18475,0.0,0.0,22.672500000000003,22.381,78.08833333333334,77.79883333333333,0.1353644855144858,5.682700837941708
2024-07-12 01:00:00,23.100000000000005,18.591665000000003,20.208335,18.2,22.028166666666667,83.09283333333333,2.160283333333333,126.45558333333334,917.03344,0.0,0.0,22.175833333333333,21.876166666666663,83.31633333333333,82.88366666666667,0.1338661338661334,
2024-07-12 02:00:00,23.091665000000003,18.50833,20.208335,18.175,21.59783333333333,86.73333333333333,3.93275,146.58283333333333,915.6852816666668,0.0,0.0,21.7535,21.45283333333333,86.93166666666666,86.54666666666667,0.1373627372627374,
2024-07-12 03:00:00,23.091665000000003,18.51667,20.208335,18.18333,21.64933333333333,86.91000000000001,4.87195,173.85833333333332,914.5295716666666,0.0,0.0,21.788,21.532666666666668,87.04833333333333,86.78166666666667,0.1368631368631367,
2024-07-12 04:00:00,23.100000000000005,18.55833,20.2,18.175,21.767666666666667,87.48333333333333,3.161,75.95745000000001,916.822565,0.0,0.0,21.9145,21.628833333333333,87.64666666666668,87.32333333333332,0.1358642357642357,
2024-07-12 05:00:00,23.091665000000003,18.55,20.2,18.15,22.1055,83.19133333333333,3.3578,166.18249999999998,914.928995,0.0,0.0,22.251166666666663,21.95716666666667,83.67316666666667,82.731,0.137112937062937,
2024-07-12 06:00:00,23.075000000000003,18.55833,20.208335,18.191665,21.96966666666667,71.9465,2.2422166666666663,201.44833333333327,914.7059516666668,1.9304666666666668,0.0,22.14783333333333,21.7915,72.52116666666667,71.27783333333333,0.1358642357642357,
2024-07-12 07:00:00,23.066665,18.55833,20.216665,18.191665,21.773833333333336,75.51866666666666,2.4326,181.90166666666667,914.7114183333334,86.55916666666667,0.0,21.933666666666667,21.60983333333333,75.93766666666667,75.10583333333334,0.1358643856143856,
2024-07-12 08:00:00,23.033330000000003,18.566665,20.233335,18.2,23.139666666666667,77.063,2.225216666666667,119.19183333333334,915.6128516666666,193.865,0.0,23.283166666666663,22.97416666666667,77.48516666666666,76.6625,0.135864235764236,
2024-07-12 09:00:00,23.016665,18.525,20.2,18.18333,22.79583333333333,82.7445,2.3340166666666664,111.22521666666668,916.1436283333334,238.13666666666668,0.0,22.93433333333333,22.6415,83.12833333333333,82.39183333333334,0.139111038961039,
2024-07-12 10:00:00,23.0,18.575,20.2,18.2,23.001166666666663,81.70450000000001,2.7917166666666664,148.425,915.9158366666668,197.35333333333327,0.0,23.147666666666662,22.84933333333333,82.02933333333334,81.38366666666667,0.1376123876123877,
2024-07-12 11:00:00,23.0,18.616665,20.21667,18.2,25.104666666666667,72.73883333333333,2.554816666666667,173.81,916.1888816666668,371.1166666666667,0.0,25.258333333333333,24.946,73.36816666666667,72.1465,0.1358640859140857,
2024-07-12 12:00:00,22.975,18.56667,20.208335,18.166665,29.496,54.140166666666666,3.994916666666666,171.83166666666665,915.66789,858.7666666666667,0.0,29.673333333333336,29.323666666666668,55.040333333333336,53.28783333333333,0.1393605394605394,
2024-07-12 13:00:00,22.93333,18.55833,20.191665,18.125,31.928,47.154833333333336,2.638416666666666,173.73,915.454435,843.9033333333333,0.0,32.10316666666667,31.750833333333333,48.1175,46.305,0.1426076423576423,
2024-07-12 14:00:00,22.899999999999995,18.51667,20.108335,18.108335,33.50866666666666,42.50416666666667,2.56845,165.84333333333333,915.414005,902.705,0.0,33.687,33.314166666666665,43.2615,41.76316666666666,0.1478519480519481,
2024-07-12 15:00:00,22.883335,18.466665,20.0,18.108335,34.243,37.30116666666667,2.900183333333333,152.23666666666668,915.2312116666668,768.7866666666666,0.0,34.42483333333334,34.0585,38.1125,36.54516666666667,0.1530968531468534,
2024-07-12 16:00:00,22.899999999999995,18.516665,20.0,18.05,35.097833333333334,38.584500000000006,3.121666666666667,161.15,914.8548383333332,767.6383333333334,0.0,35.27466666666667,34.90866666666667,39.239,37.8855,0.1528472027972027,
2024-07-12 17:00:00,22.825,18.51667,19.925,18.03333,34.82733333333333,36.998666666666665,3.5483333333333333,152.48999999999998,914.6149066666666,558.5133333333334,0.0,34.992,34.662166666666664,37.44616666666666,36.6,0.1578421578421577,
2024-07-12 18:00:00,22.81667,18.533335,19.866665,18.016665,34.051833333333335,37.434333333333335,3.786666666666666,160.81,914.5285366666668,388.4666666666666,0.0,34.199666666666666,33.894333333333336,37.851,37.0185,0.1598401098901101,
2024-07-12 19:00:00,22.8,18.475,19.8,18.025,32.57666666666667,47.51366666666667,3.0470333333333333,155.36833333333334,914.7158166666668,211.015,0.0,32.717666666666666,32.422333333333334,47.82533333333333,47.2255,0.1638361638361634,
2024-07-12 20:00:00,22.825,18.508335,19.8,18.0,29.946666666666665,56.98116666666667,1.1879,122.60516666666668,915.0762116666666,47.72716666666667,0.0,30.0995,29.78833333333333,57.2225,56.74816666666666,0.1628371128871131,
