TIMESTAMP,IRT5023A1xx24,TDR5023A10624,TDR5023A11824,TDR5023A13024,TDR5023A14224,DEN5023A1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,et
2024-07-08 06:00:00,9.4825915,25.725,20.275,26.0,24.5,3948.9525,11.635833333333332,90.88166666666666,0.8255666666666667,220.23,918.9188966666668,14.277583333333332,0.0,11.786333333333332,11.475666666666664,91.11333333333332,90.63166666666666,,0.0,
2024-07-08 07:00:00,11.12624,25.708335,20.3,26.0,24.5,3948.881,13.3305,86.58666666666666,0.6958166666666667,274.09666666666664,919.3177916666666,124.52266666666668,0.0,13.457833333333332,13.182833333333331,86.90666666666667,86.27,,0.0,
2024-07-08 08:00:00,14.585175,25.7,20.241665,26.00833,24.50833,3949.698,15.424166666666668,82.05083333333333,1.2721166666666666,294.38,919.3523216666669,297.7583333333333,0.0,15.572833333333334,15.269166666666669,82.76933333333334,81.38183333333333,,0.0,
2024-07-08 09:00:00,18.422535,25.7,20.3,26.024995,24.50833,3950.5715,18.529666666666667,69.95716666666667,1.3982166666666669,300.06333333333333,919.20734,474.4383333333333,0.0,18.67533333333333,18.369666666666667,70.99766666666666,68.94033333333333,,0.0,
2024-07-08 10:00:00,22.10239,25.675,20.316665,26.00833,24.50833,3951.1345,21.38116666666667,57.909666666666666,1.6263666666666663,304.7133333333333,919.060815,638.2583333333333,0.0,21.533,21.231166666666663,59.164,56.64266666666666,,0.0,
2024-07-08 11:00:00,23.953305,25.6,20.3,26.00833,24.491665,3950.585,23.660833333333336,48.75666666666667,2.135933333333333,312.7316666666667,919.0176683333334,772.3883333333334,0.0,23.8115,23.5,50.26283333333333,47.29166666666666,,0.0,
2024-07-08 12:00:00,25.029400000000003,25.65833,20.241665,25.93333,24.5,3949.631,25.1935,42.28216666666666,1.5558833333333333,244.38671666666667,918.873505,864.5,0.0,25.351333333333333,25.025666666666663,43.97283333333333,40.80316666666667,,0.0,
2024-07-08 13:00:00,25.43546,25.549995000000003,20.258335,25.9,24.491665,3918.314,26.0595,38.40983333333334,1.7012166666666668,253.18696666666668,918.5490466666666,915.5333333333332,0.0,26.207,25.901333333333334,40.19666666666667,36.809,,0.0,
2024-07-08 14:00:00,26.082035,25.491665,20.208335,25.80833,24.450000000000003,3844.761,26.9065,35.53516666666667,1.4047666666666667,257.1717333333333,918.1320716666668,919.5666666666668,0.0,27.060166666666667,26.7425,37.0125,34.141333333333336,,0.0,
2024-07-08 15:00:00,26.518915,25.4,20.191665,25.683335,24.424995000000003,3811.8465,27.48616666666667,34.4575,1.4872,256.19155,917.722275,845.965,0.0,27.65033333333333,27.3135,36.10850000000001,32.8545,,0.0,
2024-07-08 16:00:00,26.591895,25.4,20.191665,25.608335,24.458335,3803.226,27.87983333333333,33.71483333333333,1.4919833333333334,246.4379833333333,917.3243816666668,774.3783333333333,0.0,28.04533333333333,27.704833333333333,35.36033333333333,32.24783333333333,,0.0,
2024-07-08 17:00:00,26.187415,25.291665,20.2,25.541665,24.45,3800.4425,27.8365,33.513666666666666,1.2270833333333333,178.79976666666667,916.89165,591.3266666666666,0.0,27.999666666666663,27.67033333333333,35.098,32.035833333333336,,0.0,
2024-07-08 18:00:00,25.971735,25.275,20.166665,25.466665,24.40833,3801.296,28.07483333333333,31.83833333333333,0.7585,235.77916666666667,916.6664383333332,415.0416666666667,0.0,28.226166666666664,27.910500000000003,33.22633333333333,30.532,,0.0,
2024-07-08 19:00:00,24.471205,25.2,20.133335,25.4,24.4,3801.135,27.12066666666667,34.12166666666666,0.7867333333333334,76.27136666666667,916.4614866666668,230.98666666666668,0.0,27.271,26.960666666666665,35.236,33.1375,,0.0,
2024-07-08 20:00:00,21.828635,25.2,20.108335,25.391665,24.383335,3803.3055,25.473166666666668,42.068333333333335,0.2979666666666666,73.48066666666666,916.6272533333332,70.67399999999999,0.0,25.61433333333333,25.32033333333333,43.040333333333336,41.010666666666665,,0.0,
2024-07-08 21:00:00,16.968335,25.2,20.11667,25.4,24.366665,3818.973,21.42683333333333,53.894,1.1509166666666668,152.595,916.80894,0.9982833333333332,0.0,21.59783333333333,21.256,54.550666666666665,53.2945,,0.0,
2024-07-08 22:00:00,15.125635,25.2,20.141665,25.391665,24.4,3827.7045,17.05216666666667,72.79116666666667,1.6867833333333333,199.9116666666667,917.3934383333332,0.0,0.0,17.203500000000002,16.897833333333335,72.98833333333333,72.57466666666666,,0.0,
2024-07-08 23:00:00,14.972845,25.208335,20.158335,25.4,24.391665,3852.9015,18.380333333333333,67.736,2.374283333333333,180.82666666666668,917.7733416666669,0.0,0.0,18.5325,18.22383333333333,67.93366666666667,67.53866666666667,,0.0,
2024-07-09 00:00:00,16.785899999999998,25.2,20.116665,25.43333,24.4,3867.87,18.51533333333333,67.26783333333334,2.29295,179.895,918.0830583333334,0.0,0.0,18.660833333333336,18.354,67.50616666666666,67.03566666666667,,0.0,5.497959991481795
