TIMESTAMP,TDR2012B40624,TDR2012B41824,TDR2012B43024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,eto,etc,kc
2024-08-13 19:00:00,18.408335,12.533335,12.583329999999998,24.71066666666667,74.67683333333333,3.3004333333333333,150.04666666666665,914.496795,104.57033333333334,0.0,24.850166666666667,24.563166666666667,74.87083333333334,74.49066666666666,,,
2024-08-13 20:00:00,18.441665,12.508335,12.625,23.619833333333336,80.29983333333332,3.02145,148.11166666666668,914.5548866666668,2.736883333333333,0.0,23.7585,23.468166666666665,80.42983333333333,80.16083333333333,,,
2024-08-13 21:00:00,18.458335,12.525,12.6,22.805,84.44,0.5682166666666666,106.6615,914.6479766666666,0.0,0.0,22.95,22.646,84.60166666666667,84.28666666666666,,,
2024-08-13 22:00:00,18.441665,12.525,12.591665,21.985166666666668,90.085,1.0979,126.15416666666668,914.2019116666668,0.0,0.0,22.115333333333336,21.86733333333333,90.245,89.94666666666667,,,
2024-08-13 23:00:00,18.475,12.558335,12.6,19.706,93.08333333333331,4.16935,206.33166666666665,914.6479533333334,0.0,0.1227666666666666,19.859,19.5465,93.33333333333331,92.82666666666668,,,
2024-08-14 00:00:00,18.45833,12.566665,12.591665,18.644333333333336,93.745,2.795333333333333,230.185,914.8681566666668,0.0,0.0423333333333333,18.78983333333333,18.483166666666666,93.90666666666668,93.57666666666668,4.401818870189286,5.062091700717679,1.15
2024-08-14 01:00:00,18.458335,12.55,12.6,18.2035,94.81333333333332,3.819083333333333,194.89,914.1716733333334,0.0,0.0296333333333333,18.3395,18.04983333333333,94.95833333333331,94.64166666666668,,,
2024-08-14 02:00:00,18.45,12.55,12.6,18.373,92.68666666666668,1.832,152.4945,912.76336,0.0,0.0084666666666666,18.52083333333333,18.220166666666668,92.89166666666668,92.485,,,
2024-08-14 03:00:00,18.466665,12.6,12.591665,18.046333333333333,95.03,1.3816666666666668,87.20983333333334,911.883,0.0,0.0,18.18583333333333,17.891833333333334,95.20333333333332,94.85666666666664,,,
2024-08-14 04:00:00,18.45,12.591665,12.6,17.6165,96.97166666666666,0.5600333333333334,117.55968333333334,912.3836566666666,0.0,0.0,17.754166666666666,17.46216666666667,97.115,96.81666666666666,,,
2024-08-14 05:00:00,18.433335,12.550000000000002,12.6,17.067833333333333,98.58666666666666,0.5872833333333334,209.61666666666667,913.241115,0.0,0.0,17.21966666666667,16.912166666666668,98.72833333333332,98.44333333333334,,,
2024-08-14 06:00:00,18.425,12.591665,12.6,17.421833333333332,97.54333333333334,0.5134166666666666,186.86,913.58003,0.0,0.0,17.570333333333334,17.2675,97.69666666666669,97.395,,,
2024-08-14 07:00:00,18.44167,12.550000000000002,12.566665,17.32633333333333,97.495,0.34715,131.92666666666668,913.76357,27.512183333333333,0.0,17.475833333333334,17.17,97.64166666666668,97.325,,,
2024-08-14 08:00:00,18.48333,12.6,12.61667,20.17383333333333,88.36166666666666,1.4194833333333332,191.00666666666663,914.067655,165.79833333333332,0.0,20.319666666666667,20.018,89.00833333333334,87.71666666666667,,,
2024-08-14 09:00:00,,,,21.32283333333333,83.27333333333333,1.5989166666666668,185.98,914.0509116666668,168.41833333333335,0.0,21.4685,21.188333333333333,83.94833333333332,82.65216666666667,,,
2024-08-14 10:00:00,,,,22.238666666666667,79.596,1.6608333333333334,176.15166666666667,914.113225,135.86499999999998,0.0,22.387666666666668,22.09283333333333,80.24366666666667,78.99216666666666,,,
2024-08-14 11:00:00,,,,22.950133333333333,72.59116666666667,1.8538,196.4033333333333,914.18654,336.65,0.0,23.719833333333334,21.85833333333333,74.14983333333333,70.43733333333333,,,
2024-08-14 12:00:00,,,,24.98483333333333,68.47583333333334,1.88725,205.15,914.0354833333332,508.9654545454545,0.0,25.1355,24.8385,69.53083333333333,67.54183333333333,,,
2024-08-14 13:00:00,,,,27.41433333333333,62.42333333333333,2.5548166666666665,210.91833333333332,913.6188733333332,881.2403508771929,0.0042333333333333,27.598333333333336,27.23783333333333,63.761,61.07333333333334,,,
2024-08-14 14:00:00,,,,29.580166666666667,53.085166666666666,1.8282166666666664,232.5366666666667,913.0508266666668,839.0827586206897,0.0,29.740333333333336,29.42533333333333,54.43233333333333,51.873666666666665,,,
2024-08-14 15:00:00,,,,31.3955,41.3965,2.01225,305.25,912.8038333333334,816.125,0.0,31.558333333333334,31.236,42.77366666666667,40.021,,,
2024-08-14 16:00:00,,,,32.25933333333333,36.17483333333333,2.4405,282.385,912.55881,716.1733333333334,0.0,32.41683333333334,32.118833333333335,37.246,35.0805,,,
2024-08-14 17:00:00,,,,32.19566666666667,33.294666666666664,1.9593333333333331,284.18833333333333,912.2986533333334,543.9733333333334,0.0,32.358333333333334,32.03616666666667,34.315666666666665,32.296,,,
2024-08-14 18:00:00,,,,32.22566666666667,29.2865,1.9085666666666663,248.5016666666667,912.119115,369.12666666666667,0.0,32.37833333333334,32.069833333333335,30.06116666666667,28.5895,,,
2024-08-14 19:00:00,,,,31.102500000000003,34.07566666666666,1.3221666666666667,241.7483333333333,911.9574066666668,162.8955,0.0,31.256666666666668,30.953166666666668,34.631,33.562333333333335,,,
2024-08-14 20:00:00,,,,27.948833333333333,44.314,1.75595,226.53333333333333,912.47169,14.76495,0.0,28.113666666666667,27.800833333333333,44.65916666666667,44.008833333333335,,,
2024-08-14 21:00:00,,,,25.702166666666667,50.20683333333333,2.6519833333333334,219.04666666666665,912.858755,0.0,0.0,25.843,25.560166666666664,50.50233333333333,49.92516666666667,,,
2024-08-14 22:00:00,,,,24.794833333333333,49.34516666666666,3.747216666666666,235.63333333333333,913.2386716666666,0.0,0.0,24.93283333333333,24.650166666666667,49.59366666666666,49.131166666666665,,,
2024-08-14 23:00:00,,,,23.138666666666666,48.23183333333333,3.6456,300.775,914.4016733333334,0.0,0.0,23.283666666666665,22.99,48.473,48.011,,,
2024-08-15 00:00:00,,,,21.7185,50.0475,2.555266666666667,294.52000000000004,914.7485266666666,0.0,0.0,21.857333333333333,21.578666666666667,50.2875,49.81766666666667,5.057812919707221,5.816484857663303,1.15
2024-08-15 01:00:00,,,,20.0335,59.755833333333335,1.2336833333333332,279.06666666666666,914.7895833333332,0.0,0.0,20.18,19.884,59.9715,59.5585,,,
2024-08-15 02:00:00,,,,18.598166666666668,67.97333333333333,0.3365666666666666,127.16066666666669,914.8202866666668,0.0,0.0,18.736666666666668,18.448500000000003,68.25183333333334,67.70533333333334,,,
2024-08-15 03:00:00,,,,18.163833333333333,69.01366666666667,1.3287666666666669,236.42666666666668,915.14642,0.0,0.0,18.317666666666664,18.016,69.25516666666667,68.78883333333333,,,
2024-08-15 04:00:00,,,,17.312833333333334,74.84716666666667,0.8266166666666667,257.51,915.4928966666666,0.0,0.0,17.453666666666667,17.16033333333333,75.06866666666666,74.63766666666668,,,
