TIMESTAMP,IRT2023C1xx24,TDR2023C10624,TDR2023C11824,TDR2023C13024,TDR2023C14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc,recommendation
2024-07-31 06:00:00,18.79893,23.55,17.799999999999997,20.258335,23.233335,20.497166666666665,99.55833333333334,0.5075166666666667,120.61116666666666,909.979965,0.0,0.0,20.654666666666667,20.332833333333333,99.70666666666666,99.395,,0.0725940059940059,,,,0.3422021230715812
2024-07-31 07:00:00,20.043515,23.50833,17.8,20.325,23.291665,22.58533333333333,84.218,3.1973666666666665,233.2933333333333,911.4450133333332,1.517283333333333,0.0,22.758333333333333,22.401666666666664,84.96766666666667,83.44683333333334,,0.071595204795205,,,,0.34067417211543044
2024-07-31 08:00:00,19.28441,23.541665,17.783335,20.308335,23.291665,25.900666666666663,44.9935,1.6366666666666667,180.78866666666667,911.91069,18.6886,0.0,26.092,25.692166666666665,46.04266666666667,43.9865,,0.071595004995005,,,,0.3406738643088084
2024-07-31 09:00:00,19.129605,23.516665,17.8,20.416665,23.28333,24.26783333333333,67.11316666666667,2.28255,241.70665,911.679205,55.96541666666667,0.0,24.428,24.101,67.71583333333334,66.57983333333333,,0.0675992007992008,,,,0.33433712233253543
2024-07-31 10:00:00,22.842730000000003,23.50833,17.791665000000002,20.475,23.291665,25.215666666666667,76.49566666666666,2.51935,326.6505333333333,911.9504566666668,220.44,0.0,25.36233333333333,25.055666666666664,77.00583333333334,75.98216666666667,,0.0659342657342656,,,,0.3315839533702124
2024-07-31 11:00:00,24.768805,23.475,17.8,20.4,23.3,28.846166666666665,58.53283333333333,2.0483,283.73051666666663,912.0202066666666,404.9766666666666,0.0,29.013666666666666,28.67533333333333,59.67483333333333,57.28033333333334,,0.0699300699300698,,,,0.33807820522383497
2024-07-31 12:00:00,24.858285,23.450000000000003,17.8,20.408335,23.291665,29.660833333333336,54.88016666666667,2.669366666666667,304.00015,912.6297883333332,415.82,0.0,29.820666666666668,29.4965,55.84683333333333,53.82933333333333,0.1795118907707067,0.0705960039960038,,,,0.23663270364380007
2024-07-31 13:00:00,27.051245,23.40833,17.8,20.35,23.28333,31.39,50.98566666666667,2.2612,229.2531,912.785685,552.2199999999999,0.0,31.546,31.218166666666665,52.40866666666667,49.638000000000005,0.0,0.0745922077922077,,,,0.2317966544124817
2024-07-31 14:00:00,27.144165,23.366665,17.75,20.3,23.225,32.657833333333336,40.446000000000005,2.747866666666667,217.39713333333333,912.9689233333334,757.9033333333333,0.0,32.83116666666667,32.481833333333334,42.04216666666667,38.78633333333333,0.0718874518233283,0.0802531468531467,,,,0.2441283865493561
2024-07-31 15:00:00,27.924365,23.3,17.758335000000002,20.283335,23.183335,33.045833333333334,40.5315,2.552333333333333,159.1877333333333,913.1218483333332,629.1433333333333,0.0,33.208333333333336,32.876666666666665,41.76833333333333,39.270833333333336,0.0,0.08324995004995,,,,0.23801582291395165
