TIMESTAMP,CanopyTemp_1368
2024-07-10 17:00:00,28.678393979983632
2024-07-10 18:00:00,27.547255968814376
2024-07-10 19:00:00,25.374544111019393
2024-07-10 20:00:00,21.506958684043266
2024-07-10 21:00:00,16.7002473873902
2024-07-10 22:00:00,16.644059808863297
2024-07-10 23:00:00,17.0508419385272
2024-07-11 00:00:00,16.685763616853713
2024-07-11 01:00:00,15.916117379999946
2024-07-11 02:00:00,14.108778459452077
2024-07-11 03:00:00,13.390256080151733
2024-07-11 04:00:00,12.053488533188737
2024-07-11 05:00:00,11.813602891278515
2024-07-11 06:00:00,14.68816173890603
2024-07-11 07:00:00,17.07646283147124
2024-07-11 08:00:00,19.240726966063836
2024-07-11 09:00:00,22.15282330301301
2024-07-11 10:00:00,24.72919996401687
2024-07-11 11:00:00,27.514962536501027
2024-07-11 12:00:00,29.896250929378407
2024-07-11 13:00:00,32.31254687161126
2024-07-11 14:00:00,33.507171252758944
2024-07-11 15:00:00,33.07404212665748
2024-07-11 16:00:00,31.537693416171884
2024-07-11 17:00:00,29.11937662062113
2024-07-11 18:00:00,27.237244435829346
2024-07-11 19:00:00,25.706976861128457
2024-07-11 20:00:00,23.05289954408043
2024-07-11 21:00:00,21.18690634443793
2024-07-11 22:00:00,20.464759127744312
2024-07-11 23:00:00,19.827401219165676
2024-07-12 00:00:00,20.225187100978417
2024-07-12 01:00:00,20.37342778235505
2024-07-12 02:00:00,19.573882863181762
2024-07-12 03:00:00,19.76884425026343
2024-07-12 04:00:00,20.491853594983805
2024-07-12 05:00:00,19.77199287139091
2024-07-12 06:00:00,18.00385528186395
2024-07-12 07:00:00,19.412265829744022
2024-07-12 08:00:00,21.454297878651026
2024-07-12 09:00:00,22.356287503458628
2024-07-12 10:00:00,22.44855258256411
2024-07-12 11:00:00,24.60239057958983
2024-07-12 12:00:00,29.718329210096226
2024-07-12 13:00:00,33.111253656013126
2024-07-12 14:00:00,34.65669245414511
2024-07-12 15:00:00,33.4590688590457
2024-07-12 16:00:00,33.74758881960011
2024-07-12 17:00:00,30.72703818914385
2024-07-12 18:00:00,29.171918637860887
2024-07-12 19:00:00,28.25165872380161
2024-07-12 20:00:00,25.133990736586586
2024-07-12 21:00:00,21.321478921232448
2024-07-12 22:00:00,19.48040993464931
2024-07-12 23:00:00,22.782215823107723
2024-07-13 00:00:00,19.737838045335096
2024-07-13 01:00:00,18.842720972575123
2024-07-13 02:00:00,18.75381777632813
2024-07-13 03:00:00,18.65768465122985
2024-07-13 04:00:00,17.715157778878677
2024-07-13 05:00:00,18.881497646514667
2024-07-13 06:00:00,16.77553487131173
2024-07-13 07:00:00,18.568868296034694
2024-07-13 08:00:00,21.026267719304943
2024-07-13 09:00:00,23.77741953566583
2024-07-13 10:00:00,23.9408330192101
2024-07-13 11:00:00,25.226531008113003
2024-07-13 12:00:00,29.69509301348145
2024-07-13 13:00:00,32.56305999329152
2024-07-13 14:00:00,34.064221511839236
2024-07-13 15:00:00,34.1053682491577
2024-07-13 16:00:00,32.804285931788435
2024-07-13 17:00:00,30.86053568573128
2024-07-13 18:00:00,29.119826231756957
2024-07-13 19:00:00,27.408845194262874
2024-07-13 20:00:00,24.613007277155816
2024-07-13 21:00:00,21.778186440604948
2024-07-13 22:00:00,18.79390326418125
2024-07-13 23:00:00,16.718442265248935
2024-07-14 00:00:00,16.213781293457554
2024-07-14 01:00:00,15.772082999034632
2024-07-14 02:00:00,15.505532876882038
2024-07-14 03:00:00,14.833907439668282
2024-07-14 04:00:00,15.559066203997036
2024-07-14 05:00:00,18.39977629714343
2024-07-14 06:00:00,16.257973356980344
2024-07-14 07:00:00,16.710001232310425
2024-07-14 08:00:00,18.9425254898149
2024-07-14 09:00:00,21.456196945446884
2024-07-14 10:00:00,24.528041244144212
2024-07-14 11:00:00,27.37705129182982
2024-07-14 12:00:00,29.167295254515107
2024-07-14 13:00:00,31.014854954075258
2024-07-14 14:00:00,29.757365664935552
2024-07-14 15:00:00,31.971288068620925
2024-07-14 16:00:00,31.244105637033986
2024-07-14 17:00:00,30.03775536172071
2024-07-14 18:00:00,29.062849000848814
2024-07-14 19:00:00,27.561249058493157
2024-07-14 20:00:00,25.05501311031935
2024-07-14 21:00:00,23.1885752154732
2024-07-14 22:00:00,22.70681449161645
2024-07-14 23:00:00,22.62240955942774
2024-07-15 00:00:00,21.789901910744675
2024-07-15 01:00:00,20.18565060025672
2024-07-15 02:00:00,19.241448155601596
2024-07-15 03:00:00,19.226336472830642
2024-07-15 04:00:00,20.072283200554207
2024-07-15 05:00:00,19.450138537905797
2024-07-15 06:00:00,17.894286344686698
2024-07-15 07:00:00,18.65539619090828
2024-07-15 08:00:00,20.983938328811632
2024-07-15 09:00:00,24.830962565485418
2024-07-15 10:00:00,26.758703592735895
2024-07-15 11:00:00,28.011027452366186
2024-07-15 12:00:00,29.60919927407697
2024-07-15 13:00:00,29.22858747836998
2024-07-15 14:00:00,28.698700247774294
2024-07-15 15:00:00,28.088779144939565
2024-07-15 16:00:00,29.733447571597004
2024-07-15 17:00:00,28.536236056325833
2024-07-15 18:00:00,27.252907266385737
2024-07-15 19:00:00,25.186456335210938
2024-07-15 20:00:00,21.9686906035318
2024-07-15 21:00:00,19.4898012204247
2024-07-15 22:00:00,20.993957720315244
2024-07-15 23:00:00,21.35948145132175
2024-07-16 00:00:00,20.172473280930504
2024-07-16 01:00:00,21.623279217078995
2024-07-16 02:00:00,19.0508848884773
2024-07-16 03:00:00,18.601582796394766
2024-07-16 04:00:00,18.275201254179883
