TIMESTAMP,IRT2006B1xx24,TDR2006B10624,TDR2006B11824,TDR2006B13024,TDR2006B14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-07-26 05:00:00,21.774995,22.14167,17.38333,14.716665,11.808335,21.235166666666665,64.79216666666667,3.8462666666666654,182.1833333333333,916.9666666666668,0.0,0.0,21.379,21.079,64.9555,64.62533333333333,,0.5549450549450547,,,
2024-07-26 06:00:00,21.783330000000003,22.091665000000003,17.391665,14.725,11.800000000000002,21.155666666666665,65.07383333333333,4.119533333333333,180.47,916.7193516666666,1.67385,0.0,21.29883333333333,21.00883333333333,65.21333333333334,64.9435,,0.556193906093906,,,
2024-07-26 07:00:00,21.783330000000003,22.100000000000005,17.38333,14.708335,11.800000000000002,20.970166666666668,66.15433333333334,3.6508666666666665,177.85,916.7723233333332,59.28716666666666,0.0,21.106166666666663,20.831166666666665,66.30766666666666,66.00666666666667,,0.5566933566433564,,,
2024-07-26 08:00:00,21.73333,22.100000000000005,17.39167,14.758335,11.825,22.211166666666667,62.06583333333333,3.975916666666667,182.1383333333333,916.8874433333332,225.995,0.0,22.34433333333333,22.072666666666667,62.348333333333336,61.774,,0.5541956543456541,,,
2024-07-26 09:00:00,21.73333,22.100000000000005,17.316665,14.71667,11.800000000000002,25.18566666666667,51.82816666666667,4.936683333333334,188.96666666666667,916.7365683333334,406.66,0.0,25.332,25.035166666666665,52.31516666666666,51.36283333333333,,0.5584415084915084,,,
2024-07-26 10:00:00,21.7,22.041665,17.325,14.725,11.800000000000002,28.172833333333337,42.7835,4.947466666666667,183.655,916.3489916666666,573.5383333333334,0.0,28.321166666666667,28.014,43.33566666666666,42.32483333333333,,0.5596903596403597,,,
2024-07-26 11:00:00,21.656666,21.98,17.256666000000003,14.689998,11.8,30.3905,38.246833333333335,4.691883333333333,173.63166666666666,915.9679,719.0916666666667,0.0,30.541666666666668,30.22883333333333,38.88,37.693,,0.5646354445554446,,,
2024-07-26 12:00:00,21.59167,21.90833,17.2,14.6,11.76667,32.00933333333333,35.03483333333334,5.141900000000001,169.98999999999998,915.5151933333332,815.3283333333333,0.0,32.17333333333333,31.833666666666662,35.65333333333333,34.50066666666667,1.0,0.5721778221778224,,,
2024-07-26 13:00:00,21.5,21.891665,17.075000000000003,14.483335,11.75,33.29816666666667,32.0845,5.9920333333333335,172.06166666666667,914.903905,860.0,0.0,33.465,33.12383333333334,32.60133333333333,31.56583333333333,1.0,0.5804195804195807,,,
2024-07-26 14:00:00,21.416665,21.8,16.975,14.38333,11.675,34.097166666666666,28.897,6.1882166666666665,189.225,914.4500816666666,849.1,0.0,34.26916666666667,33.912,29.4515,28.385,1.0,0.591408691308691,,,
2024-07-26 15:00:00,21.35,21.75833,16.9,14.275,11.616665,34.71966666666666,27.99983333333333,5.835233333333333,184.65666666666667,913.84057,783.8,0.0,34.87883333333333,34.561166666666665,28.586,27.456333333333337,1.0,0.5999002497502497,,,
2024-07-26 16:00:00,21.275,21.691665,16.766669999999998,14.175,11.583335,34.80533333333334,27.71916666666667,5.9575,181.2633333333333,913.24284,671.0016666666667,0.0,34.97266666666667,34.6285,28.210500000000003,27.279333333333334,1.0,0.6098900099900101,,,
2024-07-26 17:00:00,21.2,21.633335,16.641665,14.10833,11.55,34.56933333333333,28.09433333333333,5.661866666666667,168.71833333333333,912.6122966666668,516.32,0.0,34.73083333333333,34.39566666666667,28.462,27.740666666666662,1.0,0.6183817182817183,,,
2024-07-26 18:00:00,21.2,21.608335,16.625,14.0,11.508335,33.669666666666664,30.544833333333333,5.31255,160.57999999999998,912.22638,340.25333333333333,0.0,33.818666666666665,33.509166666666665,30.803166666666662,30.282,,0.6241257742257741,,,
2024-07-26 19:00:00,21.133335,21.6,16.558335,13.975,11.5,32.042833333333334,32.83166666666667,5.118433333333333,160.735,912.3347133333332,153.90983333333332,0.0,32.19116666666667,31.883666666666667,33.03816666666667,32.63766666666667,,0.6273725774225777,,,
2024-07-26 20:00:00,21.108335,21.6,16.541665000000002,13.941665,11.5,29.509833333333333,38.69533333333333,3.285616666666667,157.84333333333333,912.691415,24.42585,0.0,29.648333333333333,29.3585,38.83133333333333,38.559,,0.6288712287712287,,,
2024-07-26 21:00:00,21.1,21.6,16.616665,13.99167,11.558335,27.163833333333333,45.484,3.511816666666667,156.81,913.1484033333332,0.0,0.0,27.294833333333333,27.020666666666667,45.59933333333333,45.373000000000005,,0.6233765234765234,,,
2024-07-26 22:00:00,21.125,21.633335,16.55,13.925,11.533335,26.225,47.78516666666667,4.3475166666666665,159.36499999999998,913.3877016666668,0.0,0.0,26.37,26.07483333333333,47.9045,47.67933333333333,,0.6271227772227774,,,
2024-07-26 23:00:00,21.13333,21.625,16.6,14.0,11.583335,25.17933333333333,52.44883333333333,5.249133333333333,162.605,913.4089116666668,0.0,0.0,25.32483333333333,25.02083333333333,52.571333333333335,52.334500000000006,,0.622127822177822,,,
2024-07-27 00:00:00,21.116665,21.633335,16.616665,14.00833,11.6,24.738,55.461,5.645316666666667,169.42833333333334,913.6553766666668,0.0,0.0,24.88116666666667,24.587333333333333,55.57716666666667,55.34316666666667,,0.6206294705294707,7.590226664888781,8.728760664622097,1.15
2024-07-27 01:00:00,21.133335,21.6,16.658335,14.008335,11.6,24.357666666666667,57.38066666666667,4.718066666666667,162.31666666666666,913.7824416666666,0.0,0.0,24.50283333333333,24.2045,57.511833333333335,57.2555,,0.6203795204795204,,,
2024-07-27 02:00:00,21.14167,21.6,16.6,14.058335,11.6,24.04983333333333,58.532,4.8095,161.34,913.2956,0.0,0.0,24.185,23.89333333333333,58.67116666666666,58.3975,,0.6206293206793208,,,
2024-07-27 03:00:00,21.125,21.6,16.63333,13.975,11.6,23.608666666666668,60.0005,5.579133333333333,168.67333333333332,912.7881816666668,0.0,0.0,23.752,23.452666666666666,60.1225,59.8785,,0.622127972027972,,,
2024-07-27 04:00:00,21.125,21.6,16.65,14.00833,11.591665,22.600666666666665,63.62583333333334,3.90685,161.44333333333333,912.8087016666668,0.0,0.0,22.742666666666665,22.46733333333333,63.7595,63.51016666666667,,0.620879270729271,,,
2024-07-27 05:00:00,21.116665,21.6,16.63333,14.008335,11.6,21.672833333333333,66.7365,4.1010333333333335,160.32833333333335,912.55563,0.0,0.0,21.81383333333333,21.531333333333336,66.86866666666667,66.61166666666666,,0.621128921078921,,,
2024-07-27 06:00:00,21.116665,21.6,16.691670000000002,14.05,11.6,21.04533333333333,69.88983333333334,4.19715,165.03833333333333,912.6633183333336,1.42555,0.0,21.189166666666665,20.898333333333333,70.02416666666666,69.75016666666667,,0.6181317682317681,,,
2024-07-27 07:00:00,21.116665,21.6,16.716665,14.05,11.6,20.823833333333333,71.9745,4.176683333333333,159.75,912.84655,46.4905,0.0,20.970333333333333,20.6715,72.10799999999999,71.84183333333334,,0.6173826673326673,,,
2024-07-27 08:00:00,21.1,21.6,16.691670000000002,14.091665,11.6,21.81066666666667,69.188,4.113933333333334,164.03,913.0122816666668,141.4515,0.0,21.95283333333333,21.66883333333333,69.365,68.9995,,0.6168830669330667,,,
2024-07-27 09:00:00,21.083335,21.583335,16.641669999999998,14.025,11.6,24.55816666666667,60.25716666666666,4.960133333333333,186.78333333333333,913.333985,408.1766666666666,0.0,24.702166666666667,24.39466666666667,60.681333333333335,59.85966666666666,,0.620878971028971,,,
2024-07-27 10:00:00,21.041665,21.608335,16.666665000000002,14.025,11.591665,26.9905,52.2135,5.556749999999999,191.575,913.16497,548.5583333333333,0.0,27.145333333333333,26.838833333333334,52.70916666666667,51.737,,0.6196304195804193,,,
2024-07-27 11:00:00,20.983335,21.53333,16.59167,13.95,11.566665,29.09133333333333,45.747,6.1192,180.435,912.3988233333332,700.3283333333333,0.0,29.24533333333333,28.92183333333333,46.20433333333334,45.31366666666667,,0.6271229270729274,,,
2024-07-27 12:00:00,20.916665,21.499995,16.541665000000002,13.941665,11.516665,30.5525,41.53866666666667,6.454833333333334,178.06,911.987805,778.8083333333333,0.0,30.72283333333333,30.38283333333333,42.006166666666665,41.09066666666667,1.0,0.6313689310689309,,,
2024-07-27 13:00:00,20.883335,21.483335,16.483335,13.875,11.508335,32.04983333333333,38.35166666666667,6.260566666666667,180.84,911.372125,867.0,0.0,32.229166666666664,31.865333333333336,38.853,37.85316666666667,1.0,0.6358639860139857,,,
2024-07-27 14:00:00,20.808335,21.416665,16.458334999999998,13.84167,11.483335,32.73233333333334,36.0895,6.248283333333333,172.27166666666665,910.6485583333334,767.94,0.0,32.905166666666666,32.559999999999995,36.491,35.7135,1.0,0.6403594905094905,,,
2024-07-27 15:00:00,20.775,21.4,16.416665000000002,13.783335,11.433335,33.737833333333334,33.879666666666665,6.463533333333333,170.625,910.1332783333334,792.135,0.0,33.897166666666664,33.56616666666667,34.26366666666667,33.527166666666666,1.0,0.6453545954045954,,,
2024-07-27 16:00:00,20.7,21.366665,16.299999999999997,13.8,11.425,34.08133333333333,32.396166666666666,6.602866666666667,174.70499999999998,909.558375,666.66,0.0,34.23633333333333,33.9155,32.740833333333335,32.05716666666667,1.0,0.6496004495504497,,,
2024-07-27 17:00:00,20.616665,21.35,16.266665,13.75,11.425,33.97816666666667,32.095166666666664,6.1666,180.57333333333327,909.016235,491.56666666666666,0.0,34.120333333333335,33.81783333333333,32.42216666666666,31.79883333333333,1.0,0.6525974525474527,,,
2024-07-27 18:00:00,20.541665,21.33333,16.275,13.75,11.408335,33.13766666666667,33.421,5.970283333333333,170.8,908.29336,310.38666666666666,0.0,33.29116666666667,32.96966666666667,33.6725,33.173833333333334,,0.653346703296703,,,
2024-07-27 19:00:00,20.5,21.308335,16.225,13.733335,11.4,31.480166666666666,38.2125,5.0512,161.06333333333333,908.2431366666666,104.72366666666667,0.0,31.629166666666663,31.31983333333333,38.3795,38.059666666666665,,0.6563435564435565,,,
2024-07-27 20:00:00,20.5,21.325000000000003,16.2,13.75,11.45,29.49816666666667,43.15716666666666,2.765283333333333,152.89833333333334,909.1045233333332,21.1688,0.0,29.64483333333333,29.341166666666663,43.294,43.03233333333333,,0.6545954045954043,,,
2024-07-27 21:00:00,20.525,21.308335,16.208334999999998,13.733335,11.441665,28.175166666666662,47.03616666666667,2.80525,149.68666666666667,909.2979966666668,0.0,0.0,28.319666666666667,28.028166666666667,47.156666666666666,46.918,,0.6555943056943058,,,
2024-07-27 22:00:00,20.53333,21.325,16.225,13.733335,11.43333,27.499333333333333,50.47183333333333,3.921133333333333,155.67666666666668,909.89178,0.0,0.0,27.64483333333333,27.341666666666665,50.58616666666667,50.35816666666667,,0.654845204795205,,,
2024-07-27 23:00:00,20.54167,21.366665,16.23333,13.73333,11.491665,24.89933333333333,60.89783333333333,3.72795,270.40833333333336,912.1092933333332,0.0,0.0,25.0715,24.724,61.2775,60.5145,,0.6515987012987016,,,
2024-07-28 00:00:00,20.6,21.33333,16.258335000000002,13.758335,11.5,18.2675,94.27166666666668,1.7354833333333337,273.285,913.785165,0.0,0.0169333333333333,18.41183333333333,18.11683333333333,94.51166666666668,94.03,,0.6508491508491507,5.071895456728589,5.832679775237876,1.15
2024-07-28 01:00:00,20.55833,21.375,16.308335,13.8,11.5,18.67366666666667,90.285,1.7356,224.43666666666667,914.0622783333332,0.0,0.0042333333333333,18.811,18.51533333333333,90.53333333333332,90.02833333333334,,0.6468530969030971,,,
2024-07-28 02:00:00,20.6,21.55,16.316665,13.8,11.5,17.958000000000002,93.06833333333334,1.36245,254.28583333333333,913.7096133333332,0.0,0.0042333333333333,18.101666666666667,17.795333333333335,93.24333333333334,92.88666666666668,,0.6413586913086914,,,
2024-07-28 03:00:00,20.6,22.3,16.333334999999998,13.8,11.5,17.693833333333334,93.955,1.55085,162.90333333333334,910.98137,0.0,0.0084666666666666,17.83133333333333,17.536833333333334,94.145,93.77666666666669,,0.6183815684315684,,,
2024-07-28 04:00:00,20.6,22.541665,16.366664999999998,13.8,11.5,17.344833333333334,96.54666666666668,0.6731,102.00966666666666,909.8166,0.0,0.0042333333333333,17.482166666666668,17.19333333333333,96.70166666666668,96.38333333333334,,0.6101399600399603,,,
2024-07-28 05:00:00,20.591665,22.591665,16.38333,13.8,11.491665,16.6965,95.935,1.5649166666666663,179.93166666666667,909.2508666666668,0.0,0.0,16.834833333333332,16.539333333333335,96.09833333333331,95.76666666666668,,0.6083918081918083,,,
2024-07-28 06:00:00,20.58333,22.741665,16.4,13.8,11.5,16.455666666666666,95.35166666666667,0.67235,177.69416666666666,910.07811,0.50325,0.0042333333333333,16.600666666666665,16.302333333333333,95.49333333333334,95.19333333333334,,0.6031469030969033,,,
2024-07-28 07:00:00,20.6,22.75,16.508335000000002,13.8,11.5,16.402166666666666,98.14666666666668,0.1413,67.37713333333333,910.666265,67.74166666666666,0.0,16.546666666666667,16.244,98.31,97.99333333333334,,0.5996502997002997,,,
2024-07-28 08:00:00,20.541665,22.716665,16.56667,13.8,11.5,19.108,92.46666666666668,1.39395,260.2916666666667,911.01637,229.49,0.0042333333333333,19.255333333333333,18.946,92.87,92.07333333333332,,0.5989010489510491,,,
2024-07-28 09:00:00,20.558335,22.766665000000003,16.63333,13.8,11.5,20.8735,83.85583333333334,2.6476,251.035,911.1005333333334,411.535,0.0,21.025666666666663,20.73166666666667,84.534,83.23066666666666,,0.595404745254745,,,
2024-07-28 10:00:00,20.508335,22.891665,16.608335,13.8,11.5,23.233833333333333,73.84333333333333,2.665116666666667,252.2783333333333,910.735785,582.815,0.0,23.388166666666667,23.079,74.84016666666666,72.95,,0.5924075924075923,,,
2024-07-28 11:00:00,20.5,22.841665,16.691665,13.791665,11.5,26.01833333333333,62.562333333333335,2.8685,241.39166666666668,910.5186316666666,718.4966666666667,0.0042333333333333,26.178166666666662,25.869333333333334,63.6535,61.4695,,0.5916584915084917,,,
2024-07-28 12:00:00,20.433335,22.84167,16.733335,13.8,11.5,27.763166666666667,58.256,3.1864,233.31166666666667,910.3699,809.4183333333333,0.0,27.9275,27.595333333333333,59.374,57.23016666666667,1.0,0.5901596903096904,,,
2024-07-28 13:00:00,20.391665,22.833335,16.716665,13.8,11.5,29.521166666666662,52.9155,2.61325,236.94333333333333,909.8806933333332,850.0833333333334,0.0,29.686333333333334,29.3485,54.08233333333333,51.8065,1.0,0.5909090909090907,,,
2024-07-28 14:00:00,20.308335,22.86667,16.65,13.79167,11.491665,31.40533333333333,45.42733333333333,2.1731333333333334,249.2483333333333,909.5094183333332,834.65,0.0,31.5615,31.23883333333333,46.89566666666667,44.152,1.0,0.5924074425574428,,,
2024-07-28 15:00:00,20.3,22.85,16.591665,13.783335,11.45,32.57716666666667,41.6075,1.92625,242.1083333333333,909.0751166666666,765.2283333333332,0.0,32.736666666666665,32.39983333333333,42.97116666666667,40.295,1.0,0.5961538461538464,,,
