TIMESTAMP,TDR5007B40624,TDR5007B41824,TDR5007B43024,TDR5007B44224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,eto,etc,kc
2024-08-01 00:00:00,24.9,18.3,18.158335,15.091665,21.63383333333333,66.62366666666667,0.1379333333333333,45.55683333333333,916.946735,0.0,0.0,21.7805,21.483666666666668,66.97816666666667,66.23816666666667,0.2432567432567434,5.099879184074781,6.119855020889736,1.2
2024-08-01 01:00:00,24.891665,18.3,18.141665,15.1,19.487,77.57283333333334,0.5143833333333333,82.40883333333333,917.540595,0.0,0.0,19.642,19.33033333333333,77.81166666666667,77.34116666666667,0.2437563436563437,,,
2024-08-01 02:00:00,24.891665,18.316665,18.141665000000003,15.06667,18.185166666666664,86.325,1.4359833333333334,187.3083333333333,917.8625316666668,0.0,0.0,18.333,18.021833333333333,86.57,86.08166666666666,0.244255794205794,,,
2024-08-01 03:00:00,24.816665,18.3,18.158335,15.08333,17.010166666666667,93.03,0.0609166666666666,17.196666666666665,918.2467,0.0,0.0,17.147666666666666,16.854499999999998,93.215,92.81,0.2460040959040957,,,
2024-08-01 04:00:00,24.85,18.3,18.141665,15.08333,15.455,95.93333333333334,0.6552333333333333,105.49333333333334,918.6186016666668,0.0,0.0,15.597,15.299833333333334,96.14666666666668,95.70333333333332,0.2455046453546453,,,
2024-08-01 05:00:00,24.808335,18.3,18.15,15.091665,14.5265,97.68666666666668,0.9885666666666668,192.515,918.9412983333332,0.0,0.0,14.662166666666668,14.390833333333337,97.83666666666666,97.53,0.2462537462537464,,,
2024-08-01 06:00:00,24.8,18.3,18.116665,15.083335,13.772833333333333,97.90333333333334,1.4594666666666667,193.96166666666667,919.4610516666668,1.17325,0.0,13.9155,13.6325,98.05333333333331,97.76333333333334,0.2477522477522477,,,
2024-08-01 07:00:00,24.733335,18.3,18.166665,15.075,14.995,98.02166666666668,1.0055,206.84833333333333,920.0229466666666,59.07333333333334,0.0,15.151833333333334,14.833,98.2,97.855,0.2485014985014984,,,
2024-08-01 08:00:00,24.75833,18.333335,18.175,15.083335,19.378833333333333,85.71883333333334,0.9532833333333331,283.3183333333333,920.7860516666666,228.2133333333333,0.0,19.5325,19.21916666666667,86.21066666666667,85.25316666666666,0.2462537462537464,,,
2024-08-01 09:00:00,24.716665,18.291665,18.183335,15.091665,23.896166666666662,72.22633333333333,1.19345,298.2433333333333,921.1009233333332,400.47333333333336,0.0,24.051666666666662,23.7415,72.92066666666666,71.47733333333333,0.2482518481518483,,,
2024-08-01 10:00:00,24.7,18.3,18.13333,15.1,27.24,63.204166666666666,1.3954,311.49816666666663,921.1668583333334,567.045,0.0,27.389333333333337,27.08083333333333,64.087,62.31216666666667,0.2497503496503497,,,
2024-08-01 11:00:00,24.633335,18.3,18.191665,15.058335,30.4565,43.26616666666666,1.4225833333333333,218.7907,921.2641766666668,706.8533333333332,0.0,30.617,30.28983333333333,44.2225,42.4245,0.2512487012987014,,,
