TIMESTAMP,TDR2009A40624,TDR2009A41824,TDR2009A43024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,eto,etc,kc
2024-07-29 22:00:00,23.108335,12.675,12.23333,26.438,65.61933333333333,3.0958166666666664,160.17333333333332,910.0818916666668,0.0,0.0,26.579,26.28216666666667,65.77900000000001,65.46216666666666,0.6157176823176821,,,
2024-07-29 23:00:00,23.175,12.65,12.208335,26.319333333333336,65.64466666666667,3.532633333333333,158.145,909.8681166666668,0.0,0.0,26.45566666666667,26.169666666666668,65.788,65.50066666666666,0.6150515484515485,,,
2024-07-30 00:00:00,23.125,12.7,12.2,25.693666666666665,69.8235,3.23915,151.77333333333334,909.8392833333334,0.0,0.0,25.836,25.54083333333333,69.97666666666667,69.67733333333334,0.6153846153846155,5.613697210811492,6.455751792433215,1.15
2024-07-30 01:00:00,23.1,12.716665,12.208335,24.368,76.87566666666666,1.7578166666666666,157.08333333333334,909.565465,0.0,0.0,24.502166666666668,24.211166666666667,77.04783333333333,76.71166666666666,0.6153846153846155,,,
2024-07-30 02:00:00,23.1,12.7,12.216665,22.564166666666665,85.14,1.2734,123.11716666666666,909.420465,0.0,0.0,22.71183333333333,22.4165,85.395,84.89833333333333,0.6157176823176824,,,
2024-07-30 03:00:00,23.1,12.733335,12.208335,22.0855,89.27333333333333,0.8674999999999999,162.92999999999998,910.0833033333332,0.0,0.0,22.2355,21.9545,89.45,89.09333333333333,0.6147184815184815,,,
2024-07-30 04:00:00,23.108335,12.725,12.216665,21.84016666666667,87.85333333333332,1.1143666666666665,142.54083333333335,909.042665,0.0,0.0,21.98783333333333,21.695666666666668,88.105,87.60333333333332,0.6143856143856146,,,
2024-07-30 05:00:00,23.1,12.733335,12.208335,22.49116666666667,84.68166666666666,1.4135833333333332,119.23966666666666,908.74099,0.0,0.0,22.63516666666667,22.349666666666668,84.87666666666668,84.47833333333332,0.6147184815184815,,,
2024-07-30 06:00:00,23.1,12.733335,12.208335,21.517666666666667,88.13000000000001,1.1959166666666663,154.5385,908.97706,0.3483166666666666,0.0,21.65033333333333,21.374333333333333,88.36666666666666,87.91333333333334,0.6147184815184815,,,
2024-07-30 07:00:00,23.1,12.75833,12.2,22.7335,79.47666666666667,1.6468833333333337,160.60566666666668,908.9038666666668,59.273,0.0,22.883666666666667,22.58333333333333,79.7585,79.18733333333333,0.6140527472527469,,,
2024-07-30 08:00:00,23.1,12.75,12.2,25.378666666666668,69.36466666666666,1.2785833333333334,201.0953,909.335015,221.0025,0.0,25.52733333333333,25.21966666666667,69.95766666666667,68.82133333333333,0.6143856143856142,,,
2024-07-30 09:00:00,23.1,12.716665,12.21667,25.368,75.44216666666667,1.66165,265.9361333333333,909.9733933333332,423.0933333333333,0.0,25.50783333333333,25.20883333333333,76.13816666666666,74.72183333333334,0.6150515484515482,,,
