TIMESTAMP,IRT5006B1xx24,TDR5006B10624,TDR5006B11824,TDR5006B13024,TDR5006B14224,DEN5006B1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-07-13 16:00:00,34.283655,22.450000000000003,14.425,11.875,17.8,1591.437,34.782666666666664,39.69683333333333,2.170733333333333,45.06701666666667,915.45259,699.535,0.0,34.938,34.61383333333333,40.86983333333333,38.47133333333333,,0.5399600399600397,,,
2024-07-13 17:00:00,34.296420000000005,22.391665,14.4,11.825,17.8,1590.135,34.88316666666666,38.02,2.0588333333333333,44.13216666666666,915.2609583333334,557.3616666666666,0.0,35.0435,34.7185,39.02616666666667,36.99,,0.5439560939060937,,,
2024-07-13 18:00:00,34.41496,22.341665000000003,14.383335,11.791665,17.775000000000002,1591.0694999999998,34.4515,39.053666666666665,1.6895666666666669,41.43,915.2047916666668,385.1833333333333,0.0,34.599833333333336,34.2985,40.067,38.06733333333333,,0.5477023476523474,,,
2024-07-13 19:00:00,33.281115,22.325,14.366665,11.825,17.73333,1594.0680000000002,33.39066666666667,40.84216666666667,0.7663833333333333,40.79216666666667,915.2246816666668,212.08166666666665,0.0,33.538333333333334,33.232,41.850166666666674,39.72733333333333,,0.5489511988011987,,,
2024-07-13 20:00:00,31.584325000000003,22.333335,14.383335,11.800000000000002,17.73333,1626.726,31.1565,53.7395,0.2922833333333333,41.1865,915.0683233333332,60.21625,0.0,31.305333333333333,30.987166666666667,54.43183333333333,53.024,,0.5489510489510487,,,
2024-07-13 21:00:00,26.88954,22.341665000000003,14.391665,11.800000000000002,17.724999999999998,1659.4054999999998,26.956333333333337,70.68466666666667,0.2321333333333333,104.24466666666667,915.221635,0.3540333333333333,0.0,27.10683333333333,26.798333333333336,70.89266666666667,70.46966666666667,,0.5487013986013983,,,
2024-07-13 22:00:00,23.62564,22.341665000000003,14.4,11.791665,17.724999999999998,1671.5575,24.596,75.97683333333333,0.06725,19.598333333333336,915.5839883333332,0.0,0.0,24.758166666666668,24.442666666666664,76.2465,75.6695,,0.5487013986013987,,,
2024-07-13 23:00:00,21.03627,22.358335,14.408335,11.808335,17.708335,1680.1245,20.448500000000003,89.15,0.6626833333333334,114.34,915.8132216666668,0.0,0.0,20.59883333333333,20.29133333333333,89.45833333333333,88.825,,0.5479518481518482,,,
2024-07-14 00:00:00,18.751,22.308335,14.425,11.833329999999998,17.758335,1688.581,18.5375,94.98333333333332,1.3555166666666667,182.63,915.9575366666668,0.0,0.0,18.688333333333333,18.366333333333333,95.205,94.735,,0.5467032967032968,5.675174167025019,6.810209000430023,1.2
2024-07-14 01:00:00,18.15846,22.383335,14.425,11.816665,17.758335,1695.048,19.541833333333333,94.06166666666668,0.6784166666666667,159.41716666666667,915.71962,0.0,0.0,19.692166666666665,19.376666666666665,94.32833333333332,93.775,,0.5449549950049951,,,
2024-07-14 02:00:00,18.352590000000003,22.391665,14.466665,11.875,17.708335,1704.9965,19.34433333333333,94.54333333333334,0.3953333333333333,125.78966666666666,915.2528066666669,0.0,0.0,19.5025,19.177666666666667,94.80833333333334,94.26666666666668,,0.5432068431568433,,,
2024-07-14 03:00:00,17.054395000000003,22.358335,14.48333,11.875,17.758335,1709.414,17.296333333333333,97.78166666666668,0.9045333333333332,197.57,915.15542,0.0,0.0,17.44783333333333,17.1295,97.96666666666668,97.58,,0.542207792207792,,,
2024-07-14 04:00:00,17.512885,22.325,14.441665,11.84167,17.775000000000002,1725.211,18.639333333333333,95.825,0.5403833333333333,171.35,915.0802216666668,0.0,0.0,18.785833333333336,18.48333333333333,96.03666666666666,95.59666666666666,,0.5449549950049951,,,
2024-07-14 05:00:00,18.85977,22.333335,14.48333,11.883335,17.8,1765.6895000000002,20.2025,88.72,3.7784,28.25255,917.1019266666666,0.0,0.0,20.37333333333333,20.03183333333333,89.05666666666666,88.3495,,0.5414585414585413,,,
2024-07-14 06:00:00,18.69865,22.3,14.48333,11.833329999999998,17.8,1836.2565,18.36433333333333,83.78166666666667,2.872183333333333,54.34133333333333,917.6983933333332,5.879966666666666,0.0,18.505666666666663,18.209666666666667,84.015,83.54166666666667,,0.5439562437562436,,,
2024-07-14 07:00:00,18.38676,22.3,14.508335,11.85833,17.775000000000002,1838.495,18.2605,80.28233333333334,2.0679666666666665,43.46266666666667,918.2543166666668,88.911,0.0,18.404333333333334,18.107166666666668,80.57933333333334,79.96000000000001,,0.543206843156843,,,
2024-07-14 08:00:00,20.30265,22.3,14.508335,11.833335,17.783335,1837.6125,20.023666666666667,72.10866666666668,1.86355,61.99633333333334,918.3669866666668,273.90833333333336,0.0,20.165333333333333,19.858666666666668,72.58933333333333,71.67116666666668,,0.5437061438561438,,,
2024-07-14 09:00:00,23.072105000000004,22.25,14.475,11.858335000000002,17.775000000000002,1823.1815,23.083,59.38483333333333,1.5316166666666668,79.85833333333333,918.0122566666666,433.03333333333336,0.0,23.244666666666667,22.921666666666667,60.04416666666667,58.776,,0.5457042457542457,,,
2024-07-14 10:00:00,26.173215,22.233335,14.541665,11.866665,17.733335,1787.1329999999998,26.865333333333336,45.36983333333333,1.7338166666666666,122.68383333333333,917.5159916666668,606.4266666666666,0.0,27.01683333333333,26.703333333333333,46.0535,44.6785,,0.545204795204795,,,
2024-07-14 11:00:00,29.02888,22.091665000000003,14.5,11.85,17.7,1743.941,30.418666666666663,35.537166666666664,2.0942,129.58133333333333,917.3269183333334,738.3616666666666,0.0,30.578666666666667,30.254666666666665,36.2255,34.95466666666667,,0.552197852147852,,,
2024-07-14 12:00:00,30.40384,22.0,14.483335000000002,11.800000000000002,17.708335,1675.6320000000003,31.643833333333337,35.4345,3.172083333333333,166.10166666666666,917.0568116666668,831.1866666666666,0.0,31.809833333333334,31.46466666666667,36.04816666666667,34.8225,,0.5566932067932064,,,
2024-07-14 13:00:00,31.069875,21.975,14.483335000000002,11.808335,17.675,1608.1645,32.28366666666667,35.79316666666667,3.706616666666666,174.42166666666665,916.662235,879.1083333333333,0.0,32.454166666666666,32.097166666666666,36.33866666666667,35.236999999999995,,0.5581917082917084,,,
