TIMESTAMP,IRT2003A3xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,eto,etc,kc
2024-08-09 04:00:00,12.96061,14.410333333333334,75.03850000000001,0.5164333333333333,66.04466666666666,924.1898733333333,0.0,0.0,14.544333333333332,14.262166666666667,75.49583333333334,74.57333333333332,,,,
2024-08-09 05:00:00,12.28965,13.816666666666666,76.02666666666667,0.7989499999999999,70.45533333333333,924.079495,0.0,0.0,13.954333333333333,13.678833333333332,76.43116666666667,75.65216666666667,,,,
2024-08-09 06:00:00,12.152065,13.659833333333331,75.84400000000001,0.3332833333333333,109.0055,924.4410183333332,0.0,0.0,13.790666666666668,13.524166666666668,76.30516666666668,75.37883333333333,,,,
2024-08-09 07:00:00,12.222345,13.2975,83.35183333333333,0.40595,100.5205,924.6010383333332,7.998616666666666,0.0,13.428166666666666,13.150666666666666,83.88166666666666,82.82300000000001,,,,
2024-08-09 08:00:00,12.708835,13.4715,83.78500000000001,0.7293333333333333,113.6955,925.0455533333334,43.71945,0.0,13.607333333333337,13.332833333333332,84.28,83.25166666666668,,,,
2024-08-09 09:00:00,13.427442,13.9495,85.845,0.7160333333333334,103.49183333333332,925.4158083333332,92.118,0.0,14.0895,13.795666666666667,86.41499999999999,85.27,,,,
2024-08-09 10:00:00,14.29027,14.468833333333333,80.48066666666666,0.9941333333333332,131.90166666666667,925.29981,100.45933333333332,0.0,14.6095,14.315499999999998,81.1045,79.87916666666666,,,,
2024-08-09 11:00:00,14.36354,14.683666666666666,80.6365,1.510916666666667,159.524,925.5912516666668,111.33833333333334,0.0,14.8235,14.534166666666666,81.1585,80.05516666666668,,,,
2024-08-09 12:00:00,14.592215,14.880833333333332,80.17883333333333,1.86905,156.585,925.7005616666668,177.125,0.0,15.029333333333334,14.717833333333337,80.8065,79.58066666666667,,,,
2024-08-09 13:00:00,16.598264999999998,16.2835,76.92633333333333,2.231183333333333,173.94666666666666,925.3472866666668,349.605,0.0,16.430500000000002,16.117833333333333,77.87349999999999,76.09966666666666,,,,
2024-08-09 14:00:00,17.250230000000002,17.270333333333333,67.1945,2.4457166666666668,187.87833333333336,925.034155,287.43666666666667,0.0,17.4135,17.110500000000002,68.06816666666667,66.31966666666666,,,,
2024-08-09 15:00:00,16.554209999999998,17.59766666666667,61.88066666666667,2.2662,207.86666666666667,924.8838933333334,222.705,0.0,17.752166666666668,17.445333333333334,62.59633333333333,61.17716666666667,,,,
2024-08-09 16:00:00,15.76625,17.011333333333333,64.91233333333334,2.300383333333333,214.8883333333333,924.6656716666668,128.21833333333333,0.0,17.158,16.849,65.43583333333333,64.3985,,,,
2024-08-09 17:00:00,15.586975,16.950333333333333,65.95033333333333,1.6588666666666667,197.09166666666667,924.2429916666666,130.73,0.0,17.0995,16.789666666666665,66.53433333333334,65.39216666666667,,,,
2024-08-09 18:00:00,15.83568,17.131333333333334,66.2575,1.7467666666666666,207.66,923.75486,116.68466666666669,0.0,17.2805,16.9735,66.75683333333333,65.7755,,,,
2024-08-09 19:00:00,15.645505,16.537166666666668,74.50516666666667,2.2175,212.94166666666663,923.7124866666668,45.33316666666667,0.0,16.684166666666666,16.380333333333333,74.80283333333334,74.1985,,,,
