TIMESTAMP,IRT5023A1xx24,TDR5023A10624,TDR5023A11824,TDR5023A13024,TDR5023A14224,DEN5023A1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-08-21 09:00:00,21.77119,25.3,18.6,19.7,17.225,258.58075,21.828166666666668,81.16216666666666,6.2261500000000005,185.38333333333333,918.6465766666666,401.78333333333336,0.0,21.991666666666667,21.663666666666664,81.4875,80.8215,,0.1121378621378621,,,
2024-08-21 10:00:00,24.62312,25.291665,18.65833,19.7,17.2,330.951,24.312166666666663,72.90783333333334,4.372566666666667,173.56333333333333,918.8749266666669,575.7800000000001,0.0,24.471666666666668,24.15233333333333,73.32283333333334,72.519,,0.1113887612387617,,,
2024-08-21 11:00:00,26.778655,25.249995,18.675,19.7,17.216665,445.21475,26.434833333333334,66.964,3.627633333333333,175.30499999999998,918.7636216666668,696.3066666666667,0.0,26.6165,26.252166666666668,67.56233333333334,66.334,,0.1116385614385616,,,
2024-08-21 12:00:00,28.15182,25.2,18.7,19.725,17.225,904.8307,28.299166666666668,61.7775,4.689116666666666,171.725,918.344135,815.1133333333333,0.0,28.466,28.129,62.283166666666666,61.318,,0.1113886113886114,,,
2024-08-21 13:00:00,29.68128,25.108335,18.533335,19.716665,17.241664999999998,758.5292,29.977500000000003,56.54733333333333,5.3512,171.735,917.9724866666668,855.4833333333333,0.0,30.1555,29.799666666666667,57.04183333333334,56.055,,0.1188811188811191,,,
2024-08-21 14:00:00,29.36471,25.066665,18.633335,19.69167,17.225,567.0019,29.815166666666663,56.502833333333335,5.297633333333334,158.10166666666666,917.5602316666666,587.2366666666666,0.0,29.98,29.652833333333334,56.88316666666666,56.13633333333333,,0.1183815184815188,,,
2024-08-21 15:00:00,28.97306,24.974995,18.625,19.7,17.208334999999998,660.25485,30.891,53.12,5.769433333333334,159.37,916.89249,759.6516666666666,0.0,31.069333333333336,30.718,53.52833333333333,52.739,1.6293809259469847,0.1216284715284717,,,
2024-08-21 16:00:00,30.31038,24.916665,18.566665,19.625,17.216665,1049.52125,31.252666666666663,51.99533333333333,6.17255,165.06333333333333,916.362235,624.9283333333333,0.0,31.4165,31.09466666666667,52.351,51.6545,0.6999270256944301,0.127123026973027,,,
2024-08-21 17:00:00,29.93273,24.9,18.616665,19.7,17.2,866.0703,31.306,52.54633333333334,5.841883333333333,160.50833333333333,916.1054316666668,478.7183333333333,0.0,31.46783333333333,31.1495,52.86133333333333,52.256166666666665,,0.1243756743256744,,,
2024-08-21 18:00:00,29.165025,24.84167,18.616665,19.733335,17.2,760.28165,30.0765,54.86300000000001,6.203550000000001,159.87166666666664,915.6169466666666,197.92,0.0,30.2395,29.930166666666665,55.08466666666666,54.659666666666666,,0.1251247752247751,,,
2024-08-21 19:00:00,27.134285,24.8,18.625,19.716665,17.216665,665.25575,28.38433333333333,60.95216666666667,4.4995666666666665,158.47,915.47134,53.62283333333333,0.0,28.528666666666663,28.239166666666662,61.117,60.8205,,0.126123976023976,,,
2024-08-21 20:00:00,25.75014,24.8,18.666665,19.70833,17.208334999999998,901.17385,27.1505,64.284,3.3904666666666667,154.91833333333335,915.8958683333332,0.4882833333333333,0.0,27.29083333333333,27.003833333333333,64.44149999999999,64.14766666666667,,0.1253747252747254,,,
2024-08-21 21:00:00,24.6323,24.8,18.616665,19.74167,17.208334999999998,965.8432,26.17683333333333,68.30816666666666,4.028133333333333,158.9983333333333,915.8821966666668,0.0,0.0,26.31233333333333,26.03633333333333,68.4625,68.172,,0.1258740259740261,,,
2024-08-21 22:00:00,24.559125,24.8,18.608335,19.775,17.2,971.14355,25.709166666666665,69.72616666666666,4.959683333333333,161.745,916.5872316666666,0.0,0.0,25.85933333333333,25.563333333333333,69.88850000000001,69.59033333333333,,0.1253745754245757,,,
2024-08-21 23:00:00,24.11963,24.8,18.591665,19.766665,17.216665,957.85875,24.88566666666667,72.67683333333333,3.1934166666666663,150.11,916.8500733333332,0.0,0.0,25.026166666666665,24.7365,72.82616666666667,72.52816666666666,,0.1256245254745257,,,
2024-08-22 00:00:00,23.444625,24.8,18.65,19.71667,17.216665,960.8422,24.30933333333333,74.45383333333332,1.66445,174.47,918.2759883333332,0.0,0.0,24.46066666666667,24.1675,74.64383333333333,74.26616666666668,,0.1253745754245754,3.2726746332329086,3.9272095598794903,1.2
2024-08-22 01:00:00,20.34674,24.783335,18.608335,19.783335,17.233335,912.1974,19.224,90.6585,3.3484166666666666,282.65,919.973555,0.0,0.2709333333333333,19.392,19.05816666666667,91.0475,90.3155,,0.1246251748251745,,,
