TIMESTAMP,IRT2001A2xx24,TDR2001A20624,TDR2001A21824,TDR2001A23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-08-19 16:00:00,24.98869,19.166665,13.591665,8.383333,29.39133333333333,43.38433333333333,4.34415,162.72,920.4082233333334,660.76,0.0,29.562166666666663,29.20733333333333,43.8415,42.93416666666667,,0.8904430369630371,,,
2024-08-19 17:00:00,25.93051,19.1,13.558335,8.333333,29.38733333333333,44.061166666666665,4.2222333333333335,171.30833333333334,920.2267733333332,464.56166666666667,0.0,29.567,29.21183333333333,44.45216666666667,43.716166666666666,,0.8964368431568434,,,
2024-08-19 18:00:00,25.006345,19.15833,13.6,8.3416665,28.514,48.98266666666667,3.46615,154.345,920.1861166666666,268.25166666666667,0.0,28.666666666666668,28.34916666666667,49.2845,48.69716666666667,,0.8921080319680318,,,
2024-08-19 19:00:00,23.46229,19.11667,13.575,8.3,26.520333333333333,57.6705,2.127483333333333,131.04016666666666,920.168795,55.054883333333336,0.0,26.6755,26.3795,57.892500000000005,57.45766666666667,,0.8964367632367635,,,
2024-08-19 20:00:00,19.557315000000003,19.2,13.54167,8.316667,24.0175,67.51816666666667,1.2689833333333334,115.554,920.8607433333332,0.0,0.0,24.16,23.865,67.68333333333334,67.37133333333333,,0.8937727472527472,,,
2024-08-19 21:00:00,19.454965,19.2,13.608335,8.374999500000001,23.083,69.71366666666667,1.2337166666666666,140.50833333333333,921.2238516666667,0.0,0.0,23.221833333333333,22.93583333333333,69.889,69.56233333333333,,0.8887778421578421,,,
2024-08-19 22:00:00,19.6133,19.233335,13.583335,8.366666,22.689,69.07816666666666,2.24075,138.42166666666665,921.227,0.0,0.0,22.829666666666665,22.54,69.256,68.91766666666668,,0.8887777822177821,,,
2024-08-19 23:00:00,19.683405,19.325,13.68333,8.374998999999999,22.514166666666664,68.77216666666666,2.7313,140.58583333333334,921.5718,0.0,0.0,22.651166666666665,22.36683333333333,68.93383333333333,68.61933333333333,,0.8807860539460542,,,
2024-08-20 00:00:00,19.704755,19.291665,13.64167,8.374999500000001,21.909,72.12633333333333,4.0838,151.77833333333334,921.22082,0.0,0.0,22.059833333333334,21.75633333333333,72.30933333333334,71.95416666666667,,0.8837828371628372,5.680412862177496,6.53247479150412,1.15
2024-08-20 01:00:00,19.69481,19.291665,13.625,8.391666,21.5485,73.021,4.248766666666667,156.49333333333334,920.9969266666668,0.0,0.0,21.695,21.399166666666662,73.183,72.87933333333334,,0.883782977022977,,,
2024-08-20 02:00:00,18.78531,19.26667,13.65,8.4,20.855666666666664,74.85983333333334,3.4734,156.835,921.0003183333332,0.0,0.0,20.997166666666665,20.709666666666667,75.023,74.70483333333333,,0.8834497502497499,,,
2024-08-20 03:00:00,18.125175,19.291665,13.65,8.391666,20.37983333333333,77.09750000000001,2.81015,157.19166666666666,921.0147133333334,0.0,0.0,20.51533333333333,20.241666666666667,77.25966666666666,76.95983333333334,,0.8827839760239762,,,
2024-08-20 04:00:00,18.561575,19.266665,13.6,8.374999500000001,20.136333333333333,79.3445,3.0839,155.86666666666667,920.60325,0.0,0.0,20.290333333333333,19.986666666666668,79.53766666666667,79.18900000000001,,0.886446973026973,,,
2024-08-20 05:00:00,18.78437,19.275,13.608335,8.408332999999999,20.24083333333333,80.15283333333333,3.297233333333333,157.53333333333333,920.570135,0.0,0.0,20.37816666666667,20.090666666666667,80.30466666666666,79.9925,,0.8844488311688314,,,
2024-08-20 06:00:00,19.11419,19.258335,13.6,8.408332999999999,20.025,81.81,3.1354166666666665,158.14166666666668,920.5953833333332,0.0,0.0,20.170166666666667,19.87633333333333,81.97333333333333,81.65166666666667,,0.8854478321678323,,,
2024-08-20 07:00:00,18.173035,19.266665,13.633335,8.4,19.318,86.14,4.004466666666667,160.2483333333333,920.4652383333332,14.024916666666666,0.0,19.467666666666663,19.176166666666667,86.32333333333332,85.97666666666667,,0.8841158841158839,,,
