TIMESTAMP,IRT2011B2xx24,TDR2011B20624,TDR2011B21824,TDR2011B23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-14 04:00:00,,20.075,17.40833,13.1,18.639333333333333,95.825,0.5403833333333333,171.35,915.0802216666668,0.0,0.0,18.785833333333336,18.48333333333333,96.03666666666666,95.59666666666666,0.5131536463536466,,
2024-07-14 05:00:00,,20.1,17.424999999999997,13.1,20.2025,88.72,3.7784,28.25255,917.1019266666666,0.0,0.0,20.37333333333333,20.03183333333333,89.05666666666666,88.3495,0.5114885114885117,,
2024-07-14 06:00:00,,20.033335,17.5,13.1,18.36433333333333,83.78166666666667,2.872183333333333,54.34133333333333,917.6983933333332,5.879966666666666,0.0,18.505666666666663,18.209666666666667,84.015,83.54166666666667,0.5111554445554444,,
2024-07-14 07:00:00,,20.058335,17.475,13.1,18.2605,80.28233333333334,2.0679666666666665,43.46266666666667,918.2543166666668,88.911,0.0,18.404333333333334,18.107166666666668,80.57933333333334,79.96000000000001,0.5111554445554444,,
2024-07-14 08:00:00,,20.033335,17.475,13.1,20.023666666666667,72.10866666666668,1.86355,61.99633333333334,918.3669866666668,273.90833333333336,0.0,20.165333333333333,19.858666666666668,72.58933333333333,71.67116666666668,0.5121544455544453,,
2024-07-14 09:00:00,,20.008335,17.48333,13.1,23.083,59.38483333333333,1.5316166666666668,79.85833333333333,918.0122566666666,433.03333333333336,0.0,23.244666666666667,22.921666666666667,60.04416666666667,58.776,0.5128205794205796,,
2024-07-14 10:00:00,,20.0,17.391665,13.083335,26.865333333333336,45.36983333333333,1.7338166666666666,122.68383333333333,917.5159916666668,606.4266666666666,0.0,27.01683333333333,26.703333333333333,46.0535,44.6785,0.5174825174825174,,
2024-07-14 11:00:00,29.13585,20.0,17.25,13.05,30.418666666666663,35.537166666666664,2.0942,129.58133333333333,917.3269183333334,738.3616666666666,0.0,30.578666666666667,30.254666666666665,36.2255,34.95466666666667,0.5244755244755246,,
2024-07-14 12:00:00,31.427925,19.916665,17.15,13.0,31.643833333333337,35.4345,3.172083333333333,166.10166666666666,917.0568116666668,831.1866666666666,0.0,31.809833333333334,31.46466666666667,36.04816666666667,34.8225,0.5337996003996006,,
2024-07-14 13:00:00,33.978305000000006,19.891665,17.03333,12.991665,32.28366666666667,35.79316666666667,3.706616666666666,174.42166666666665,916.662235,879.1083333333333,0.0,32.454166666666666,32.097166666666666,36.33866666666667,35.236999999999995,0.5397938061938062,,
2024-07-14 14:00:00,34.82736,19.866665,16.866664999999998,12.916665,32.504333333333335,36.91033333333333,3.063616666666667,166.495,916.3590833333332,619.51,0.0,32.67466666666667,32.325,37.4875,36.4025,0.5504497502497504,,
2024-07-14 15:00:00,34.862185,19.875,16.775,12.916665,33.576166666666666,36.771,3.232833333333333,169.95833333333334,915.834005,772.985,0.0,33.747,33.4015,37.3405,36.24033333333333,0.5537796203796204,,
2024-07-14 16:00:00,35.80477500000001,19.88333,16.633335000000002,12.9,34.246833333333335,37.799,2.618383333333333,158.35333333333335,915.2898966666668,656.1716666666667,0.0,34.408166666666666,34.06433333333333,38.35133333333333,37.27183333333333,0.5597736263736264,,
2024-07-14 17:00:00,34.04963,19.808335,16.458334999999998,12.883335,34.54633333333334,36.575833333333335,2.04305,146.32833333333335,914.726835,532.72,0.0,34.69666666666667,34.38699999999999,37.09816666666666,36.133,0.5704293706293705,,
2024-07-14 18:00:00,31.424715,19.833335,16.383335,12.825,34.33166666666667,37.73350000000001,2.301133333333333,147.29833333333332,914.13646,376.06666666666666,0.0,34.4815,34.174,38.134,37.36533333333333,0.5747584415584414,,
2024-07-14 19:00:00,29.20066,19.875,16.316665,12.8,33.095,41.459500000000006,1.8342,141.04166666666666,913.799655,175.99766666666667,0.0,33.23983333333333,32.936166666666665,41.7285,41.214333333333336,0.5767566433566435,,
