TIMESTAMP,IRT2006B1xx24,TDR2006B10624,TDR2006B11824,TDR2006B13024,TDR2006B14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-13 11:00:00,19.991665,22.541665,20.2,19.09167,12.3,26.59733333333333,65.14683333333333,1.5337500000000002,116.72275,917.0306733333332,354.385,0.0,26.7465,26.43133333333333,65.78483333333334,64.49883333333334,0.3126872627372631,,
2024-07-13 12:00:00,19.991665,22.541665,20.2,19.125,12.3,29.45533333333333,56.04466666666666,2.045933333333333,70.78533333333333,916.71477,787.5216666666668,0.0,29.6135,29.283,57.17233333333333,55.0825,0.3116883616383617,,
2024-07-13 13:00:00,19.975,22.5,20.15,19.033335,12.316665,31.42366666666667,48.268,2.1723,61.273,916.2798483333332,880.45,0.0,31.57583333333333,31.25483333333333,49.67016666666667,47.017500000000005,0.3166833166833164,,
2024-07-13 14:00:00,19.908335,22.40833,20.05,19.0,12.3,34.02466666666667,35.80133333333333,1.7544166666666667,85.31216666666667,915.6286083333332,872.5,0.0,34.18333333333333,33.85033333333333,36.857,34.90266666666666,0.3239261738261737,,
2024-07-13 15:00:00,19.9,22.391665,19.908335,19.0,12.3,34.49816666666666,38.790333333333336,2.2108833333333333,44.24316666666667,915.5924416666666,808.7566666666667,0.0,34.65316666666667,34.334500000000006,39.9725,37.68183333333333,0.3286713286713287,,
2024-07-13 16:00:00,19.883335,22.308335,19.78333,18.941665,12.3,34.782666666666664,39.69683333333333,2.170733333333333,45.06701666666667,915.45259,699.535,0.0,34.938,34.61383333333333,40.86983333333333,38.47133333333333,0.3366634365634367,,
2024-07-13 17:00:00,19.875,22.3,19.691665,18.9,12.308335,34.88316666666666,38.02,2.0588333333333333,44.13216666666666,915.2609583333334,557.3616666666666,0.0,35.0435,34.7185,39.02616666666667,36.99,0.3406593406593407,,
2024-07-13 18:00:00,19.9,22.3,19.65833,18.908335,12.3,34.4515,39.053666666666665,1.6895666666666669,41.43,915.2047916666668,385.1833333333333,0.0,34.599833333333336,34.2985,40.067,38.06733333333333,0.3416583916083917,,
2024-07-13 19:00:00,19.891665,22.3,19.633335,18.9,12.291665,33.39066666666667,40.84216666666667,0.7663833333333333,40.79216666666667,915.2246816666668,212.08166666666665,0.0,33.538333333333334,33.232,41.850166666666674,39.72733333333333,0.3429070929070931,,
2024-07-13 20:00:00,19.916665,22.291665,19.6,18.9,12.325,31.1565,53.7395,0.2922833333333333,41.1865,915.0683233333332,60.21625,0.0,31.305333333333333,30.987166666666667,54.43183333333333,53.024,0.3431568931068934,,
